date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.8947,0.118,0.8947,0.8947
2000-05-18,0.8377,0.4363,0.8183,0.8169
2000-05-20,0.841,0.1808,0.8183,0.8169
2000-05-21,0.7762,0.3295,0.779,0.8051
2000-05-24,0.6613,0.0781,0.7188,0.7542
2000-05-30,0.8329,0.5554,0.8329,0.8329
2000-06-07,0.7617,0.0972,0.7617,0.7617
2000-06-11,0.7093,0.1538,0.7386,0.7402
2000-06-12,0.7801,0.1953,0.7256,0.7141
2000-06-13,0.7265,0.2215,0.7145,0.7104
2000-06-15,0.6865,0.5417,0.7158,0.7106
2000-06-16,0.6702,0.1,0.6944,0.6949
2000-06-22,0.8211,0.3014,0.7441,0.7909
2000-06-25,0.6671,0.0736,0.7299,0.748
2000-06-26,0.7511,0.4693,0.6995,0.7205
2000-06-28,0.6803,0.2587,0.6995,0.7205
2000-07-03,0.623,0.6804,0.5872,0.615
2000-07-04,0.5514,0.0854,0.5872,0.615
2000-07-09,0.6905,0.0771,0.593,0.5683
2000-07-11,0.5327,0.0627,0.5706,0.5591
2000-07-12,0.5559,0.5783,0.5706,0.5591
2000-07-13,0.5135,0.1535,0.5401,0.549
2000-07-14,0.5602,0.3295,0.5401,0.549
2000-07-16,0.5382,0.1177,0.5373,0.544
2000-07-21,0.4807,0.3812,0.4474,0.4626
2000-07-22,0.4141,0.142,0.4782,0.4734
2000-07-25,0.5397,0.0854,0.4446,0.4471
2000-07-27,0.3749,0.059,0.4548,0.4557
2000-07-28,0.4497,0.4052,0.4548,0.4557
2000-08-05,0.3648,0.0742,0.3648,0.3648
2000-08-20,0.3483,0.5303,0.4322,0.4197
2000-08-22,0.5221,0.3584,0.4322,0.4197
2000-08-23,0.4261,0.1891,0.4322,0.4197
2000-09-02,0.753,0.1226,0.6214,0.553
2000-09-04,0.591,0.0745,0.5711,0.5449
2000-09-05,0.5201,0.8298,0.5711,0.5449
2000-09-06,0.4202,0.0672,0.5777,0.5515
2000-09-09,0.7796,0.1399,0.5999,0.663
2000-09-18,0.6704,0.091,0.6192,0.5842
2000-09-19,0.568,0.4834,0.6192,0.5842
2000-10-02,0.8939,0.2736,0.8484,0.8296
2000-10-03,0.813,0.4027,0.8458,0.8299
2000-10-04,0.8814,0.0719,0.8346,0.8154
2000-10-05,0.8054,0.6026,0.8346,0.8154
2000-10-06,0.8353,0.0654,0.8227,0.8027
2000-10-07,0.7784,0.5565,0.8251,0.7995
2000-10-14,0.9285,0.5623,0.8646,0.9115
2000-10-15,0.8006,0.0863,0.8646,0.9115
2000-10-24,0.8115,0.0836,0.8541,0.8654
2000-10-26,0.8967,0.1439,0.8648,0.8794
2000-10-28,0.8862,0.4637,0.877,0.8834
2000-10-31,0.8482,0.0917,0.8672,0.8799
2001-05-01,0.88,0.6528,0.88,0.88
2001-05-07,0.8385,0.2257,0.8385,0.8385
2001-05-12,0.8754,0.515,0.8754,0.8754
2001-05-18,0.8767,0.1,0.8767,0.8767
2001-05-22,0.8358,0.2647,0.877,0.8576
2001-05-25,0.9181,0.0956,0.877,0.8576
2001-05-29,0.8185,0.1516,0.855,0.8466
2001-06-01,0.8916,0.0945,0.8327,0.8024
2001-06-04,0.788,0.7574,0.8398,0.7995
2001-06-13,0.7095,0.5799,0.6758,0.696
2001-06-14,0.642,0.145,0.6758,0.696
2001-07-04,0.6179,0.7337,0.6364,0.6193
2001-07-05,0.6753,0.0636,0.6364,0.6193
2001-07-06,0.616,0.7764,0.6364,0.6193
2001-07-11,0.7483,0.4657,0.7146,0.7142
2001-07-13,0.6809,0.4773,0.6592,0.6736
2001-07-15,0.6398,0.6583,0.6145,0.6289
2001-07-16,0.568,0.1525,0.6159,0.6287
2001-07-17,0.5876,0.3356,0.6029,0.612
2001-07-18,0.596,0.2669,0.6093,0.6134
2001-07-19,0.6229,0.0784,0.5941,0.5742
2001-07-21,0.6415,0.0772,0.5879,0.5681
2001-07-22,0.5485,0.7165,0.5664,0.5497
2001-07-23,0.5304,0.0882,0.5487,0.5428
2001-07-25,0.4886,0.1686,0.5269,0.5286
2001-07-26,0.5344,0.1802,0.5226,0.5144
2001-07-27,0.5055,0.4774,0.5062,0.5077
2001-07-28,0.5543,0.09,0.5062,0.5077
2001-07-30,0.4482,0.08,0.4918,0.4973
2001-08-01,0.459,0.1327,0.4756,0.4779
2001-08-04,0.5196,0.1169,0.4633,0.4474
2001-08-05,0.4481,0.6663,0.4644,0.4464
2001-08-06,0.4597,0.1,0.4644,0.4464
2001-08-07,0.4302,0.6815,0.4535,0.4419
2001-08-10,0.4101,0.22,0.4181,0.4174
2001-08-11,0.4572,0.1505,0.401,0.3806
2001-08-12,0.3891,0.4239,0.401,0.3806
2001-08-13,0.4039,0.0818,0.396,0.3785
2001-08-14,0.3449,0.6601,0.389,0.3742
2001-08-16,0.3707,0.4014,0.3729,0.3617
2001-08-17,0.3683,0.0887,0.3651,0.3592
2001-08-18,0.3765,0.2317,0.3942,0.412
2001-08-21,0.4613,0.5811,0.4189,0.4371
2001-08-25,0.4537,0.2947,0.4028,0.3958
2001-08-27,0.4076,0.1471,0.3885,0.3679
2001-08-28,0.3471,0.3866,0.3885,0.3679
2001-08-29,0.4056,0.1,0.4558,0.482
2001-08-30,0.3284,0.6807,0.4558,0.482
2001-09-01,0.7901,0.5692,0.508,0.5288
2001-09-05,0.7888,0.1138,0.6955,0.6321
2001-09-06,0.6021,0.5951,0.6955,0.6321
2001-09-10,0.8257,0.4988,0.7318,0.7582
2001-09-11,0.6753,0.2675,0.7318,0.7582
2001-09-12,0.6943,0.1804,0.7363,0.7542
2001-09-15,0.7501,0.9187,0.6881,0.7161
2001-09-17,0.6935,0.5171,0.6726,0.7027
2001-09-18,0.6145,0.1535,0.6616,0.6981
2001-09-19,0.6322,0.3584,0.634,0.6423
2001-09-21,0.6178,0.1114,0.6594,0.6952
2001-09-22,0.6121,0.5249,0.6784,0.7027
2001-09-24,0.8206,0.6949,0.69,0.7209
2001-09-25,0.7093,0.059,0.714,0.7299
2001-10-01,0.8994,0.9023,0.8144,0.8533
2001-10-03,0.8078,0.5153,0.8022,0.8384
2001-10-04,0.7359,0.1542,0.8022,0.8384
2001-10-05,0.7656,0.3222,0.792,0.8141
2001-10-08,0.8589,0.6892,0.8246,0.8191
2001-10-09,0.8754,0.0809,0.8443,0.8306
2001-10-10,0.7987,0.7228,0.8443,0.8306
2001-10-14,0.8905,0.1879,0.8391,0.8264
