date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-21,0.6647,0.2724,0.64,0.6542
2000-05-22,0.6152,0.0735,0.64,0.6542
2000-06-07,0.5985,0.0663,0.5985,0.5985
2000-06-12,0.7498,0.372,0.6886,0.6867
2000-06-15,0.6273,0.3954,0.6298,0.6344
2000-06-16,0.5798,0.0703,0.5898,0.59
2000-06-17,0.5622,0.5032,0.5898,0.59
2000-06-22,0.6751,0.2773,0.6751,0.6751
2000-06-26,0.6422,0.5846,0.6422,0.6422
2000-07-01,0.5085,0.3453,0.5198,0.5227
2000-07-03,0.5311,0.5788,0.5091,0.5115
2000-07-05,0.4876,0.4316,0.5094,0.5125
2000-07-09,0.5977,0.0968,0.5615,0.5355
2000-07-12,0.5253,0.5912,0.5006,0.5011
2000-07-13,0.4516,0.0643,0.4772,0.4918
2000-07-14,0.4838,0.3272,0.4704,0.4813
2000-07-15,0.4444,0.2612,0.4704,0.4813
2000-07-16,0.4807,0.2067,0.4594,0.4596
2000-07-17,0.4366,0.3389,0.4614,0.4601
2000-07-21,0.449,0.3741,0.4565,0.4555
2000-07-23,0.464,0.286,0.4433,0.4379
2000-07-26,0.417,0.5586,0.42,0.425
2000-07-28,0.4203,0.5651,0.4077,0.4156
2000-07-29,0.3785,0.0866,0.4145,0.418
2000-07-30,0.4149,0.345,0.4138,0.4185
2000-08-01,0.4417,0.1584,0.4117,0.4168
2000-08-19,0.3729,0.0622,0.391,0.4052
2000-08-20,0.4092,0.5005,0.3733,0.3969
2000-08-23,0.3377,0.0788,0.3735,0.3995
2000-08-29,0.6852,0.7139,0.6852,0.6852
2000-09-02,0.6793,0.1766,0.6053,0.5757
2000-09-03,0.5985,0.4586,0.5622,0.5706
2000-09-05,0.5382,0.7679,0.5622,0.5706
2000-09-06,0.4329,0.052,0.5164,0.5457
2000-09-09,0.4961,0.2549,0.4606,0.4598
2000-09-11,0.4786,0.0773,0.4698,0.4618
2000-09-12,0.4347,0.3703,0.4698,0.4618
2000-09-18,0.6518,0.176,0.6116,0.6099
2000-09-19,0.5956,0.4295,0.6116,0.6099
2000-09-20,0.5874,0.0541,0.6116,0.6099
2000-10-02,0.7053,0.3997,0.6567,0.6617
2000-10-03,0.6103,0.2221,0.6443,0.6567
2000-10-04,0.676,0.1512,0.6443,0.6567
2000-10-05,0.6354,0.3097,0.6443,0.6567
2000-10-06,0.5944,0.0876,0.629,0.6315
2000-10-16,0.6439,0.6949,0.6439,0.6439
2000-10-28,0.6327,0.2761,0.6126,0.6253
2000-10-29,0.642,0.0814,0.6126,0.6253
2000-10-31,0.563,0.0543,0.6126,0.6253
2001-05-04,0.7378,0.0823,0.7504,0.7574
2001-05-07,0.7629,0.2907,0.7504,0.7574
2001-05-22,0.7364,0.1379,0.7515,0.7491
2001-05-25,0.7666,0.1004,0.7126,0.6668
2001-05-26,0.6349,0.6139,0.7008,0.6534
2001-06-09,0.7609,0.2756,0.7057,0.683
2001-06-11,0.6505,0.6619,0.7057,0.683
2001-07-04,0.5953,0.3987,0.58,0.5768
2001-07-06,0.5648,0.6178,0.5806,0.5783
2001-07-08,0.5816,0.4572,0.5732,0.5719
2001-07-13,0.5192,0.3891,0.5099,0.5102
2001-07-15,0.5054,0.6418,0.5099,0.5102
2001-07-16,0.505,0.0742,0.519,0.5147
2001-07-19,0.5464,0.1539,0.5082,0.4882
2001-07-22,0.4731,0.674,0.4812,0.4757
2001-07-23,0.4811,0.0728,0.4637,0.4657
2001-07-24,0.4622,0.3435,0.4603,0.461
2001-07-25,0.4431,0.1492,0.4603,0.461
2001-07-26,0.4592,0.2395,0.4531,0.4457
2001-07-27,0.4433,0.3934,0.4442,0.4437
2001-07-29,0.4299,0.6373,0.4399,0.439
2001-07-30,0.4274,0.0608,0.439,0.441
2001-08-02,0.4554,0.4858,0.4414,0.4426
2001-08-04,0.4653,0.163,0.4366,0.4376
2001-08-05,0.4176,0.3596,0.4366,0.4376
2001-08-06,0.4162,0.0647,0.432,0.4298
2001-08-07,0.4287,0.519,0.4286,0.4283
2001-08-10,0.4153,0.1244,0.4104,0.4114
2001-08-11,0.4273,0.222,0.3987,0.3856
2001-08-12,0.3608,0.2753,0.3987,0.3856
2001-08-13,0.4198,0.1105,0.3987,0.3856
2001-08-14,0.3702,0.6438,0.3945,0.3826
2001-08-21,0.5463,0.4389,0.5463,0.5463
2001-08-27,0.6255,0.203,0.571,0.5591
2001-08-28,0.5165,0.3165,0.571,0.5591
2001-09-01,0.6968,0.7282,0.6306,0.6821
2001-09-02,0.5645,0.0912,0.6309,0.6735
2001-09-05,0.6313,0.1668,0.5788,0.5814
2001-09-06,0.5738,0.4455,0.5836,0.5836
2001-09-07,0.5456,0.0947,0.5989,0.6126
2001-09-10,0.6448,0.6354,0.5711,0.6046
2001-09-12,0.5229,0.244,0.5805,0.5973
2001-09-15,0.5739,0.5148,0.5496,0.5651
2001-09-17,0.5849,0.4486,0.5585,0.5752
2001-09-18,0.5167,0.0633,0.5585,0.5752
2001-09-24,0.5721,0.6761,0.5493,0.5668
2001-09-25,0.5265,0.0894,0.5493,0.5668
2001-10-01,0.7042,0.5889,0.6325,0.6511
2001-10-03,0.6169,0.7308,0.6114,0.6289
2001-10-04,0.5763,0.0848,0.6114,0.6289
2001-10-05,0.548,0.3854,0.6056,0.6148
2001-10-08,0.6814,0.413,0.5897,0.5964
2001-10-09,0.5889,0.088,0.6001,0.6116
2001-10-10,0.5777,0.6495,0.6001,0.6116
2001-10-11,0.5524,0.0823,0.6214,0.6246
2001-10-14,0.7068,0.1953,0.6275,0.6536
2001-10-16,0.6233,0.0678,0.665,0.6853
2001-10-27,0.5508,0.0893,0.5508,0.5508
2002-05-01,0.769,0.4141,0.769,0.769
2002-05-08,0.8304,0.476,0.8304,0.8304
2002-05-12,0.8108,0.0697,0.7469,0.7262
2002-05-13,0.7191,0.6462,0.7276,0.72
2002-05-14,0.7107,0.0852,0.7243,0.7173
2002-05-16,0.6698,0.0979,0.7026,0.7119
2002-05-17,0.7109,0.3921,0.6958,0.6986
2002-05-20,0.692,0.4585,0.7162,0.7225
2002-05-22,0.7456,0.7993,0.7188,0.7261
2002-05-26,0.733,0.334,0.7064,0.706
2002-05-27,0.6799,0.3467,0.7064,0.706
2002-06-04,0.7202,0.2005,0.7202,0.7202
2002-06-10,0.6857,0.142,0.6604,0.651
2002-06-11,0.635,0.3076,0.6604,0.651
2002-06-15,0.6424,0.0774,0.6411,0.64
2002-06-16,0.6398,0.7886,0.6411,0.64
2002-06-22,0.6708,0.1,0.609,0.6107
2002-06-24,0.5471,0.0944,0.5843,0.5766
2002-06-26,0.5349,0.1592,0.541,0.5394
2002-07-02,0.6304,0.6531,0.6304,0.6304
2002-07-11,0.5268,0.5142,0.5268,0.5268
2002-07-19,0.4854,0.0982,0.4987,0.504
2002-07-20,0.5202,0.3455,0.4987,0.504
2002-07-21,0.4934,0.2574,0.4987,0.504
2002-07-22,0.4959,0.1272,0.4987,0.504
2002-07-27,0.6225,0.4826,0.5748,0.6003
2002-07-28,0.527,0.1462,0.5495,0.5922
2002-07-31,0.4989,0.0549,0.5123,0.5132
2002-08-01,0.511,0.5522,0.505,0.5099
2002-08-12,0.5218,0.5108,0.495,0.5036
2002-08-13,0.4763,0.1595,0.495,0.5036
2002-08-14,0.4869,0.2977,0.495,0.5036
2002-08-25,0.5636,0.0573,0.5636,0.5636
2002-09-06,0.4742,0.2567,0.4742,0.4742
2002-09-20,0.7248,0.7446,0.6604,0.6809
2002-09-22,0.6512,0.4541,0.6342,0.6463
2002-09-23,0.6051,0.2536,0.6176,0.6424
2002-09-25,0.5555,0.5524,0.5558,0.5902
2002-09-26,0.5512,0.0869,0.532,0.5609
2002-09-28,0.4161,0.0509,0.5076,0.5447
2002-10-05,0.7716,0.0707,0.6886,0.6987
2002-10-06,0.7079,0.6601,0.6886,0.6987
2002-10-07,0.5862,0.1,0.6886,0.6987
2002-10-13,0.5353,0.562,0.5353,0.5353
2002-10-18,0.6228,0.3661,0.6288,0.6245
2002-10-19,0.6348,0.0601,0.6441,0.6581
2002-10-22,0.6748,0.8541,0.6548,0.6722
2002-10-27,0.6735,0.3766,0.6813,0.6767
2002-10-28,0.6891,0.0975,0.6813,0.6767
2003-05-01,0.6969,0.0876,0.6731,0.6822
2003-05-02,0.6929,0.6032,0.6731,0.6822
2003-05-03,0.6309,0.0912,0.6731,0.6822
2003-05-04,0.6717,0.2871,0.6731,0.6822
2003-05-11,0.701,0.6215,0.6628,0.673
2003-05-12,0.6703,0.1312,0.652,0.6687
2003-05-13,0.6398,0.1706,0.652,0.6687
2003-05-14,0.6401,0.3463,0.652,0.6687
2003-05-15,0.6086,0.0915,0.6397,0.6415
2003-05-21,0.6311,0.2172,0.6311,0.6311
2003-05-25,0.6013,0.7981,0.6013,0.6013
2003-06-03,0.6688,0.4417,0.7229,0.6947
2003-06-06,0.777,0.1392,0.6876,0.6713
2003-06-07,0.6646,0.1386,0.6938,0.6729
2003-06-08,0.6398,0.4033,0.654,0.6552
2003-06-11,0.5348,0.1,0.59,0.6074
2003-06-12,0.5953,0.4834,0.586,0.5995
2003-06-15,0.628,0.2968,0.5918,0.5851
2003-06-17,0.5521,0.5347,0.6108,0.6104
2003-06-19,0.6619,0.5135,0.605,0.6056
2003-06-20,0.6011,0.0566,0.605,0.6056
2003-06-25,0.6828,0.0912,0.6466,0.6345
2003-06-26,0.6403,0.7663,0.6466,0.6345
2003-06-28,0.6168,0.4964,0.6466,0.6345
2003-07-03,0.6467,0.7356,0.5984,0.6351
2003-07-04,0.5501,0.1,0.5984,0.6351
2003-07-10,0.614,0.4921,0.5894,0.6082
2003-07-11,0.5648,0.0654,0.5658,0.5649
2003-07-14,0.5186,0.5213,0.5417,0.5237
2003-08-02,0.5624,0.2867,0.5248,0.5211
2003-08-03,0.5094,0.0746,0.5248,0.5211
2003-08-04,0.5026,0.5903,0.5271,0.5221
2003-08-07,0.5341,0.0742,0.5124,0.5052
2003-08-10,0.5005,0.1281,0.4922,0.4585
2003-08-13,0.4419,0.6595,0.4589,0.4488
2003-08-16,0.4344,0.1467,0.4264,0.4285
2003-08-17,0.4268,0.1944,0.4287,0.4319
2003-08-18,0.4026,0.3603,0.4237,0.4302
2003-08-20,0.451,0.5878,0.421,0.4296
2003-08-21,0.4035,0.0862,0.419,0.4302
