date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.8392,0.2764,0.8392,0.8392
2000-05-15,0.8073,0.0625,0.8073,0.8073
2000-05-21,0.7027,0.3608,0.6616,0.6863
2000-05-22,0.6205,0.0896,0.6616,0.6863
2000-06-16,0.53,0.0969,0.53,0.53
2000-06-25,0.5878,0.0802,0.5878,0.5878
2000-07-04,0.3814,0.0656,0.3814,0.3814
2000-07-09,0.5119,0.1,0.4691,0.4399
2000-07-10,0.4263,0.5313,0.4691,0.4399
2000-07-14,0.4354,0.3526,0.3961,0.3893
2000-07-15,0.376,0.2772,0.3961,0.3893
2000-07-16,0.417,0.1439,0.3961,0.3893
2000-07-17,0.356,0.4953,0.3764,0.3853
2000-07-20,0.2975,0.0583,0.3339,0.3489
2000-07-21,0.3589,0.3276,0.3266,0.3423
2000-07-22,0.3234,0.1506,0.3445,0.3471
2000-07-25,0.398,0.051,0.3607,0.3423
2000-07-29,0.2559,0.0732,0.2938,0.3146
2000-07-30,0.3318,0.2504,0.2938,0.3146
2000-08-20,0.3108,0.6766,0.3108,0.3108
2000-09-02,0.6102,0.1469,0.4816,0.3944
2000-09-05,0.353,0.7652,0.4816,0.3944
2000-09-09,0.4088,0.2076,0.3715,0.3877
2000-09-11,0.3343,0.0823,0.3715,0.3877
2000-09-19,0.3683,0.3464,0.3683,0.3683
2000-10-14,0.8686,0.4765,0.7798,0.8394
2000-10-15,0.691,0.0938,0.7798,0.8394
2001-05-01,0.7661,0.5841,0.7661,0.7661
2001-05-07,0.7522,0.2131,0.7522,0.7522
2001-05-25,0.8283,0.0969,0.7892,0.759
2001-05-26,0.7501,0.7501,0.7892,0.759
2001-06-13,0.5863,0.4942,0.5612,0.5795
2001-06-14,0.5361,0.0771,0.5612,0.5795
2001-07-06,0.4752,0.5377,0.4752,0.4752
2001-07-15,0.4829,0.4085,0.4475,0.4604
2001-07-16,0.4122,0.0946,0.4475,0.4604
2001-07-17,0.4473,0.3567,0.4475,0.4604
2001-07-22,0.4168,0.5654,0.378,0.4021
2001-07-25,0.3392,0.1323,0.3866,0.3937
2001-07-26,0.4159,0.1455,0.3672,0.3594
2001-07-27,0.3745,0.4756,0.3496,0.3563
2001-07-29,0.3393,0.63,0.3522,0.358
2001-07-30,0.2791,0.0562,0.3382,0.3529
2001-08-02,0.3597,0.3626,0.3485,0.3638
2001-08-04,0.4068,0.1449,0.3636,0.3651
2001-08-06,0.3243,0.1,0.3656,0.3731
2001-08-11,0.3512,0.2104,0.3074,0.2958
2001-08-12,0.2774,0.2506,0.3074,0.2958
2001-08-13,0.3235,0.1,0.3074,0.2958
2001-08-14,0.2773,0.5321,0.3074,0.2958
2001-08-29,0.316,0.0698,0.4865,0.6164
2001-09-01,0.657,0.5169,0.4548,0.5539
2001-09-03,0.3915,0.2259,0.5129,0.5425
2001-09-06,0.4901,0.4791,0.4333,0.4544
2001-09-07,0.4183,0.0802,0.5124,0.55
2001-09-10,0.6287,0.4983,0.4865,0.5645
2001-09-11,0.4126,0.1335,0.5207,0.583
2001-09-15,0.5428,0.5704,0.5428,0.5428
2001-09-24,0.4894,0.5219,0.4894,0.4894
2001-10-01,0.8202,0.628,0.722,0.7379
2001-10-03,0.6237,0.4527,0.722,0.7379
2001-10-08,0.7032,0.514,0.5659,0.5856
2001-10-09,0.5097,0.0875,0.5659,0.5856
2001-10-10,0.4849,0.5343,0.5659,0.5856
2001-10-26,0.8384,0.5005,0.788,0.8281
2001-10-27,0.7377,0.057,0.788,0.8281
2002-05-01,0.871,0.4128,0.871,0.871
2002-05-14,0.6697,0.1,0.6942,0.7265
2002-05-15,0.7462,0.4818,0.6942,0.7265
2002-05-16,0.6667,0.0636,0.6942,0.7265
2002-05-20,0.7674,0.5146,0.7258,0.7237
2002-05-22,0.6843,0.5705,0.7258,0.7237
2002-05-27,0.654,0.3633,0.654,0.654
2002-06-04,0.7581,0.0885,0.7581,0.7581
2002-06-10,0.6877,0.1886,0.6733,0.6726
2002-06-11,0.6589,0.2069,0.6733,0.6726
2002-06-15,0.6486,0.0594,0.6449,0.6419
2002-06-16,0.6412,0.5379,0.6449,0.6419
2002-06-22,0.6978,0.1,0.6293,0.635
2002-06-23,0.6468,0.8847,0.6107,0.6223
