date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.8242,0.2632,0.8242,0.8242
2000-05-12,0.7851,0.2138,0.7851,0.7851
2000-05-20,0.8003,0.1588,0.7188,0.7171
2000-05-21,0.6946,0.3985,0.7188,0.7171
2000-05-22,0.6614,0.0762,0.7188,0.7171
2000-06-07,0.6204,0.0676,0.6204,0.6204
2000-06-12,0.6864,0.2044,0.6512,0.6424
2000-06-15,0.616,0.34,0.6189,0.6291
2000-06-16,0.5542,0.0971,0.5851,0.6023
2000-06-21,0.806,0.156,0.806,0.806
2000-06-25,0.643,0.0905,0.6298,0.6204
2000-06-26,0.6165,0.5206,0.6298,0.6204
2000-07-05,0.4759,0.3268,0.4759,0.4759
2000-07-09,0.6128,0.0962,0.5356,0.4809
2000-07-12,0.4585,0.5672,0.4747,0.4632
2000-07-13,0.4309,0.0629,0.4442,0.4526
2000-07-14,0.4709,0.4101,0.4407,0.4438
2000-07-15,0.4002,0.2035,0.4444,0.4448
2000-07-16,0.4603,0.1517,0.442,0.4397
2000-07-17,0.4236,0.6112,0.4366,0.4376
2000-07-18,0.4662,0.0924,0.4298,0.4257
2000-07-20,0.3985,0.0905,0.4294,0.4257
2000-07-29,0.366,0.1017,0.366,0.366
2000-08-02,0.3518,0.486,0.3405,0.3494
2000-08-05,0.3291,0.0567,0.3405,0.3494
2000-08-19,0.3232,0.08,0.3035,0.2872
2000-08-20,0.2838,0.8514,0.2961,0.2862
2000-08-23,0.2813,0.1896,0.2825,0.2833
2000-09-02,0.5661,0.1211,0.4854,0.4297
2000-09-05,0.4046,0.6593,0.4854,0.4297
2000-09-09,0.4823,0.1694,0.394,0.3624
2000-09-11,0.3669,0.0638,0.394,0.3624
2000-09-12,0.3328,0.697,0.394,0.3624
2000-09-19,0.4148,0.4003,0.3978,0.4105
2000-09-20,0.3808,0.0581,0.3978,0.4105
2000-10-03,0.6159,0.1951,0.5623,0.5701
2000-10-05,0.5551,0.4043,0.5623,0.5701
2000-10-06,0.516,0.0533,0.5623,0.5701
2000-10-14,0.645,0.4575,0.5893,0.5809
2000-10-15,0.608,0.1,0.5893,0.5809
2000-10-16,0.5149,0.4855,0.5893,0.5809
2000-10-31,0.6053,0.0865,0.6053,0.6053
2001-05-07,0.7489,0.2661,0.6492,0.64
2001-05-08,0.5496,0.3203,0.6492,0.64
2001-05-25,0.8234,0.1,0.7929,0.769
2001-05-26,0.7624,0.8279,0.7929,0.769
2001-06-11,0.6598,0.5226,0.6397,0.64
2001-06-13,0.6196,0.506,0.6397,0.64
2001-07-06,0.4861,0.8305,0.4861,0.4861
2001-07-15,0.4623,0.6015,0.4396,0.4545
2001-07-16,0.4053,0.0791,0.4432,0.4545
2001-07-17,0.4513,0.2498,0.4432,0.4545
2001-07-19,0.4541,0.1073,0.4283,0.4187
2001-07-22,0.4024,0.6706,0.4306,0.4192
2001-07-24,0.4353,0.466,0.4155,0.4108
2001-07-26,0.439,0.1879,0.4127,0.4053
2001-07-27,0.3853,0.4349,0.4127,0.4053
2001-07-29,0.3914,0.8388,0.4052,0.3957
2001-08-04,0.4187,0.1553,0.3797,0.3597
2001-08-05,0.34,0.5693,0.3797,0.3597
2001-08-06,0.3805,0.1,0.3797,0.3597
2001-08-10,0.2465,0.1236,0.3194,0.3245
2001-08-11,0.3651,0.2778,0.3189,0.3217
2001-08-12,0.3158,0.4872,0.3189,0.3217
2001-08-13,0.3501,0.1,0.3182,0.3196
2001-08-14,0.317,0.5696,0.3236,0.3219
2001-08-16,0.3147,0.6989,0.3152,0.3157
2001-08-17,0.2788,0.0926,0.3035,0.3132
2001-08-27,0.5599,0.2335,0.4377,0.5158
2001-08-29,0.3156,0.0514,0.5283,0.6443
2001-09-01,0.7093,0.5633,0.4984,0.6068
2001-09-02,0.4745,0.0694,0.5593,0.6228
2001-09-03,0.4941,0.2983,0.5446,0.5757
2001-09-06,0.5004,0.5827,0.4973,0.4983
2001-09-10,0.6314,0.5682,0.5282,0.565
2001-09-11,0.4821,0.1547,0.5282,0.565
2001-09-12,0.4712,0.2657,0.5272,0.5483
2001-09-15,0.524,0.6803,0.4636,0.4991
2001-09-18,0.3955,0.092,0.4598,0.5087
2001-09-22,0.4157,0.5675,0.4464,0.4481
2001-09-24,0.4772,0.6303,0.4464,0.4481
2001-10-01,0.7279,0.8197,0.6914,0.7205
2001-10-02,0.6548,0.0924,0.6469,0.6907
2001-10-05,0.558,0.2048,0.6121,0.6101
2001-10-08,0.6236,0.4824,0.5647,0.5793
2001-10-09,0.5578,0.099,0.5664,0.5832
2001-10-10,0.5568,0.4793,0.5664,0.5832
2001-10-11,0.5275,0.0781,0.5664,0.5832
2001-10-29,0.5105,0.1448,0.5105,0.5105
2002-05-01,0.7679,0.3882,0.7679,0.7679
2002-05-13,0.7488,0.7155,0.7087,0.7359
2002-05-14,0.6919,0.0857,0.7087,0.7359
2002-05-16,0.6854,0.1076,0.7087,0.7359
2002-06-04,0.7258,0.0867,0.7258,0.7258
2002-06-10,0.6898,0.1278,0.6698,0.6628
2002-06-11,0.6498,0.2651,0.6698,0.6628
2002-06-15,0.6489,0.081,0.6424,0.6374
2002-06-16,0.6358,0.5726,0.6424,0.6374
2002-06-22,0.6815,0.0695,0.6353,0.634
2002-06-23,0.6416,0.731,0.6244,0.6253
2002-06-24,0.6078,0.0743,0.6244,0.6253
2002-06-25,0.6103,0.2892,0.6244,0.6253
2002-06-26,0.581,0.2291,0.6102,0.6224
2002-07-19,0.4506,0.079,0.4677,0.4621
2002-07-20,0.4766,0.2284,0.4677,0.4621
2002-07-21,0.4408,0.3118,0.4677,0.4621
2002-07-22,0.5028,0.1049,0.4677,0.4621
2002-07-27,0.4854,0.4532,0.4882,0.4872
2002-07-29,0.4911,0.2102,0.4879,0.4872
2002-07-31,0.4873,0.0895,0.4892,0.49
2002-08-12,0.4463,0.5529,0.4034,0.4255
2002-08-13,0.3604,0.1762,0.4034,0.4255
2002-08-25,0.4544,0.0752,0.4544,0.4544
2002-08-31,0.3851,0.3698,0.3851,0.3851
2002-09-06,0.4984,0.2331,0.4984,0.4984
2002-09-20,0.7773,0.6619,0.6578,0.6933
2002-09-22,0.6594,0.2852,0.6578,0.6933
2002-09-23,0.5367,0.2936,0.6578,0.6933
2002-10-05,0.7077,0.1,0.6927,0.6937
2002-10-07,0.6777,0.0876,0.6927,0.6937
2002-10-13,0.5569,0.6647,0.5569,0.5569
2002-10-18,0.6687,0.3338,0.6282,0.6509
2002-10-19,0.5877,0.0943,0.6778,0.7222
2002-10-22,0.777,0.5578,0.6923,0.7391
2002-10-24,0.7122,0.2548,0.7446,0.7567
2003-05-01,0.72,0.1,0.6986,0.6987
2003-05-02,0.7124,0.4953,0.6986,0.6987
2003-05-04,0.6633,0.252,0.7236,0.7349
2003-05-07,0.7989,0.4803,0.7274,0.7486
2003-05-10,0.7201,0.0933,0.7456,0.7601
2003-05-11,0.7178,0.3514,0.719,0.7183
2003-05-15,0.6307,0.0848,0.677,0.7113
2003-05-16,0.7233,0.568,0.677,0.7113
2003-05-21,0.6012,0.189,0.6109,0.62
2003-05-23,0.6352,0.378,0.603,0.5989
2003-05-24,0.5962,0.0933,0.603,0.5989
2003-05-25,0.5792,0.7087,0.6035,0.5985
2003-06-02,0.7246,0.081,0.722,0.72
2003-06-03,0.7193,0.5493,0.7301,0.7285
2003-06-06,0.7464,0.3015,0.7142,0.722
2003-06-07,0.6768,0.1292,0.6784,0.6597
2003-06-10,0.6119,0.5933,0.6238,0.6187
2003-06-11,0.5826,0.0962,0.61,0.6134
2003-06-14,0.6355,0.1728,0.5911,0.6033
2003-06-16,0.5551,0.0743,0.601,0.612
2003-06-19,0.6123,0.4698,0.5698,0.5778
2003-06-21,0.5419,0.4047,0.5771,0.5797
2003-06-25,0.6246,0.0924,0.6246,0.6246
2003-07-03,0.5111,0.6925,0.4902,0.493
2003-07-05,0.4693,0.5289,0.4902,0.493
2003-07-11,0.5312,0.1,0.5045,0.4873
2003-07-14,0.4778,0.464,0.5045,0.4873
2003-08-03,0.4569,0.0829,0.4176,0.3862
2003-08-04,0.3782,0.7297,0.4176,0.3862
2003-08-13,0.4852,0.6574,0.4202,0.4555
2003-08-16,0.3551,0.1942,0.411,0.4447
2003-08-17,0.3927,0.178,0.3739,0.3731
2003-08-21,0.344,0.099,0.344,0.344
2003-08-25,0.3496,0.3693,0.336,0.334
2003-08-27,0.3223,0.4949,0.336,0.334
2003-09-01,0.2999,0.2137,0.3291,0.3314
2003-09-02,0.3583,0.2506,0.3205,0.3169
2003-09-05,0.3033,0.4973,0.4582,0.4922
2003-09-07,0.7129,0.5778,0.5786,0.5643
2003-09-09,0.7057,0.2601,0.6416,0.6691
2003-09-10,0.5925,0.2559,0.6416,0.6691
2003-09-11,0.5552,0.1332,0.6178,0.6302
2003-09-21,0.7037,0.4442,0.6202,0.6795
2003-09-24,0.5367,0.0751,0.5551,0.5917
2003-09-25,0.4921,0.3131,0.5055,0.4973
2003-09-27,0.4878,0.1386,0.5055,0.4973
2003-10-01,0.5789,0.0924,0.5789,0.5789
2003-10-07,0.5011,0.4659,0.5011,0.5011
2004-05-02,0.7745,0.6773,0.7745,0.7745
2004-05-22,0.7417,0.3745,0.7045,0.7182
2004-05-23,0.7016,0.3057,0.7045,0.7182
2004-05-24,0.6703,0.0774,0.7045,0.7182
2004-06-05,0.8079,0.6901,0.7407,0.7876
2004-06-06,0.6735,0.1226,0.7407,0.7876
2004-06-13,0.7182,0.0781,0.695,0.6909
2004-06-14,0.6965,0.4956,0.695,0.6909
2004-06-16,0.6703,0.2385,0.695,0.6909
2004-06-30,0.7334,0.4203,0.7625,0.7363
2004-07-02,0.851,0.1404,0.7251,0.727
2004-07-03,0.7032,0.4496,0.7251,0.727
2004-07-04,0.6126,0.0819,0.7223,0.723
2004-07-08,0.5134,0.0889,0.5335,0.5362
2004-07-11,0.5536,0.1161,0.5191,0.5009
2004-07-14,0.4904,0.6876,0.522,0.4995
2004-07-27,0.4669,0.0824,0.454,0.4392
2004-07-29,0.4607,0.0676,0.4469,0.4404
2004-07-30,0.4345,0.8048,0.4378,0.4366
2004-07-31,0.4269,0.1,0.432,0.4351
2004-08-01,0.4454,0.499,0.432,0.4351
2004-08-02,0.3923,0.1307,0.4248,0.434
2004-08-08,0.3778,0.5738,0.3778,0.3778
2004-08-14,0.5635,0.0524,0.4989,0.4942
2004-08-15,0.4965,0.9372,0.4989,0.4942
2004-08-16,0.4368,0.1,0.4989,0.4942
2004-08-27,0.3336,0.2727,0.3483,0.3421
2004-08-28,0.363,0.1115,0.3483,0.3421
2004-09-04,0.3858,0.1584,0.3858,0.3858
2004-09-08,0.7104,0.0886,0.7104,0.7104
2004-09-13,0.6558,0.1393,0.5674,0.532
2004-09-14,0.5471,0.4865,0.5674,0.532
2004-09-16,0.4994,0.7535,0.5717,0.5471
2004-09-18,0.5846,0.5554,0.4916,0.5078
2004-09-20,0.484,0.2082,0.483,0.5103
2004-09-21,0.3984,0.2863,0.483,0.5103
2004-09-22,0.465,0.0838,0.4491,0.4389
2004-09-26,0.4259,0.1189,0.4174,0.4175
2004-09-29,0.4089,0.1163,0.4074,0.3964
2004-09-30,0.3875,0.5617,0.3982,0.3912
2004-10-07,0.5595,0.3332,0.559,0.5593
2004-10-08,0.5584,0.0848,0.6154,0.6677
2004-10-11,0.7282,0.7494,0.6662,0.7112
2004-10-14,0.7119,0.2716,0.7201,0.7239
2004-10-23,0.7038,0.5007,0.6568,0.6882
2004-10-26,0.6099,0.1,0.6138,0.6259
2004-10-27,0.5907,0.6807,0.5914,0.5942
2004-10-28,0.56,0.0883,0.5914,0.5942
2004-10-29,0.6048,0.3633,0.5914,0.5942
2005-05-06,0.7661,0.1,0.7661,0.7661
2005-05-10,0.7585,0.3577,0.7219,0.7105
2005-05-11,0.739,0.1443,0.7219,0.7105
2005-05-12,0.6683,0.5037,0.7219,0.7105
2005-05-17,0.7408,0.1897,0.7262,0.7241
2005-05-18,0.7115,0.2505,0.6984,0.6761
2005-05-21,0.6429,0.6381,0.6505,0.6512
2005-05-22,0.6084,0.1,0.6302,0.6386
2005-05-23,0.6392,0.4631,0.6302,0.6386
2005-05-30,0.668,0.5125,0.668,0.668
2005-06-08,0.6845,0.6735,0.6526,0.6676
2005-06-09,0.636,0.0999,0.6526,0.6676
2005-06-10,0.6373,0.2713,0.6526,0.6676
2005-06-24,0.765,0.5612,0.765,0.765
2005-07-04,0.5451,0.1758,0.569,0.5621
2005-07-07,0.5928,0.0971,0.569,0.5621
2005-07-16,0.5208,0.081,0.5208,0.5208
2005-07-21,0.4867,0.201,0.462,0.4568
2005-07-22,0.4442,0.3583,0.462,0.4568
2005-07-24,0.4551,0.8684,0.462,0.4568
2005-07-28,0.4752,0.3609,0.44,0.4322
2005-07-29,0.3901,0.2462,0.44,0.4322
2005-07-30,0.4882,0.1421,0.44,0.4322
2005-07-31,0.4066,0.5112,0.44,0.4322
2005-08-07,0.4073,0.5086,0.4133,0.4148
2005-08-09,0.4192,0.8689,0.4133,0.4148
2005-08-15,0.4482,0.1143,0.3958,0.3683
2005-08-16,0.3352,0.3629,0.3824,0.3661
2005-08-17,0.441,0.1,0.3824,0.3661
2005-08-18,0.3589,0.4706,0.3824,0.3661
2005-08-19,0.3287,0.06,0.366,0.3567
2005-08-23,0.3848,0.5099,0.3896,0.3726
2005-08-24,0.437,0.1,0.3896,0.3726
