date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-09,0.7733,0.4722,0.7733,0.7733
2000-05-13,0.7332,0.1916,0.7332,0.7332
2000-05-22,0.6283,0.1003,0.6283,0.6283
2000-06-07,0.5687,0.1309,0.5687,0.5687
2000-06-12,0.7193,0.328,0.6882,0.6874
2000-06-15,0.657,0.3438,0.6409,0.6726
2000-06-16,0.5465,0.0787,0.6018,0.6364
2000-06-22,0.5622,0.1779,0.541,0.5435
2000-06-23,0.5199,0.1413,0.5193,0.5025
2000-06-26,0.4759,0.491,0.4979,0.4857
2000-07-04,0.3531,0.0911,0.3648,0.3732
2000-07-05,0.3765,0.5602,0.3648,0.3732
2000-07-09,0.3715,0.1504,0.3509,0.3394
2000-07-10,0.3245,0.4321,0.3385,0.3347
2000-07-11,0.3567,0.0922,0.3345,0.3299
2000-07-13,0.3012,0.0944,0.3188,0.3165
2000-07-14,0.3184,0.316,0.305,0.2924
2000-07-16,0.293,0.2685,0.2886,0.2861
2000-07-17,0.2556,0.4106,0.2794,0.2831
2000-07-18,0.2746,0.0787,0.2604,0.2476
2000-07-20,0.2553,0.0664,0.2467,0.2372
2000-07-21,0.2234,0.7494,0.2445,0.2296
2000-07-22,0.2248,0.115,0.2916,0.2457
2000-07-25,0.4631,0.0848,0.2942,0.2323
2000-07-28,0.1946,0.4954,0.2348,0.2
2000-07-29,0.1812,0.072,0.1777,0.1828
2000-07-30,0.1817,0.5538,0.1777,0.1828
2000-07-31,0.1535,0.1761,0.1777,0.1828
2000-08-19,0.1655,0.0676,0.227,0.2775
2000-08-20,0.2885,0.6858,0.227,0.2775
2000-08-29,0.7107,0.9396,0.7107,0.7107
2000-09-04,0.4526,0.0709,0.4393,0.4298
2000-09-05,0.426,0.4245,0.4393,0.4298
2000-09-09,0.2468,0.2589,0.2482,0.2486
2000-09-12,0.2495,0.5036,0.2482,0.2486
2000-09-16,0.4569,0.3014,0.4569,0.4569
2000-10-02,0.6086,0.4531,0.6086,0.6086
2000-10-14,0.583,0.472,0.583,0.583
2000-10-24,0.514,0.0832,0.5305,0.5418
2000-10-25,0.5469,0.4584,0.5305,0.5418
2001-05-07,0.7685,0.3768,0.7685,0.7685
2001-05-22,0.7708,0.1042,0.7724,0.7725
2001-05-25,0.7739,0.1291,0.7534,0.7311
2001-05-26,0.7156,0.6236,0.7448,0.7256
2001-06-01,0.7824,0.1594,0.7824,0.7824
2001-06-10,0.7116,0.1439,0.6407,0.5952
2001-06-13,0.5698,0.6604,0.6407,0.5952
2001-07-04,0.4547,0.3219,0.4547,0.4547
2001-07-13,0.39,0.5453,0.3741,0.3851
2001-07-16,0.3582,0.1,0.3914,0.3945
2001-07-17,0.3745,0.335,0.3919,0.398
2001-07-19,0.4431,0.2634,0.3747,0.3617
2001-07-22,0.323,0.6572,0.36,0.3443
2001-07-23,0.3514,0.062,0.319,0.3153
2001-07-24,0.3223,0.5639,0.308,0.3063
2001-07-26,0.2795,0.3159,0.2918,0.2809
2001-07-27,0.2639,0.3386,0.269,0.277
2001-07-29,0.2418,0.5518,0.2556,0.2569
2001-07-30,0.2373,0.0631,0.2477,0.2494
2001-08-04,0.2892,0.2348,0.2313,0.2276
2001-08-05,0.1886,0.3422,0.2313,0.2276
2001-08-06,0.2162,0.1,0.2313,0.2276
2001-08-10,0.2465,0.1052,0.2232,0.2223
2001-08-11,0.2297,0.2632,0.2057,0.184
2001-08-13,0.1934,0.1553,0.2024,0.1844
2001-08-14,0.1531,0.6506,0.1913,0.1787
2001-08-15,0.1891,0.0955,0.1785,0.1639
2001-08-19,0.2861,0.1728,0.2861,0.2861
2001-08-27,0.4483,0.3636,0.3154,0.3485
2001-08-28,0.2613,0.2392,0.3154,0.3485
2001-08-29,0.2366,0.1376,0.345,0.3942
2001-09-01,0.434,0.8487,0.3353,0.4065
2001-09-05,0.425,0.1909,0.3199,0.3212
2001-09-06,0.2811,0.3257,0.3199,0.3212
2001-09-07,0.2536,0.1,0.3199,0.3212
2001-09-15,0.3769,0.4887,0.3961,0.3943
2001-09-17,0.4071,0.6172,0.3961,0.3943
2001-09-18,0.4043,0.0653,0.3961,0.3943
2001-09-24,0.3175,0.4807,0.3175,0.3175
2001-10-03,0.4634,0.5947,0.4024,0.4191
2001-10-05,0.3413,0.3388,0.4737,0.4775
2001-10-08,0.6165,0.3925,0.4931,0.4929
2001-10-09,0.519,0.0575,0.5161,0.5095
2001-10-10,0.4956,0.4876,0.5161,0.5095
2001-10-12,0.4334,0.4695,0.4827,0.4681
2001-10-16,0.4052,0.1076,0.4064,0.4073
2001-10-19,0.4077,0.6562,0.4064,0.4073
2002-05-01,0.7515,0.4728,0.7515,0.7515
2002-05-12,0.7953,0.1312,0.7641,0.7625
2002-05-13,0.7598,0.6724,0.7505,0.7596
2002-05-14,0.7373,0.1,0.7312,0.7325
2002-05-16,0.7094,0.0508,0.7151,0.7253
2002-05-17,0.6541,0.3307,0.7147,0.715
2002-05-20,0.7579,0.4233,0.6984,0.6863
2002-05-21,0.7224,0.0977,0.7132,0.694
2002-05-22,0.6592,0.8555,0.7132,0.694
2002-05-27,0.6876,0.3343,0.6876,0.6876
2002-06-04,0.7658,0.266,0.7658,0.7658
2002-06-11,0.6149,0.2407,0.6149,0.6149
2002-06-15,0.6753,0.0966,0.6412,0.6151
2002-06-16,0.607,0.7187,0.6412,0.6151
2002-06-22,0.7252,0.0978,0.7252,0.7252
2002-06-26,0.5664,0.1161,0.5664,0.5664
2002-07-18,0.4592,0.5654,0.4576,0.4587
2002-07-19,0.4559,0.1,0.4429,0.4496
2002-07-22,0.4135,0.1674,0.4347,0.4294
2002-07-27,0.5117,0.4811,0.4786,0.4859
2002-07-28,0.4828,0.0857,0.4753,0.4831
2002-07-29,0.4413,0.2729,0.4753,0.4831
2002-07-31,0.4655,0.1321,0.4632,0.4551
2002-08-12,0.3801,0.5373,0.3473,0.357
2002-08-13,0.3272,0.1152,0.3473,0.357
2002-08-14,0.3346,0.4026,0.3473,0.357
2002-08-23,0.356,0.226,0.3354,0.3434
2002-08-25,0.3148,0.1,0.3354,0.3434
2002-09-06,0.3493,0.5052,0.3493,0.3493
2002-09-20,0.651,0.6803,0.5897,0.6158
2002-09-22,0.5812,0.3884,0.5897,0.6158
2002-09-23,0.5368,0.1325,0.5429,0.5994
2002-09-26,0.4024,0.1,0.4364,0.4078
2002-09-27,0.3699,0.4361,0.3862,0.376
2002-10-06,0.5109,0.693,0.5109,0.5109
2002-10-17,0.5596,0.3355,0.5092,0.5369
2002-10-19,0.4587,0.0974,0.5385,0.5771
2002-10-22,0.5973,0.8646,0.528,0.5833
2002-10-28,0.6547,0.1,0.6547,0.6547
2003-05-01,0.6933,0.1,0.6933,0.6933
2003-05-10,0.7141,0.0664,0.6978,0.6843
2003-05-11,0.6815,0.6991,0.655,0.6614
2003-05-14,0.5693,0.1903,0.6075,0.6485
2003-05-15,0.5718,0.1044,0.5706,0.5702
2003-05-24,0.5751,0.0955,0.5751,0.5751
2003-06-02,0.7397,0.1,0.7659,0.7791
2003-06-05,0.7921,0.3037,0.7087,0.6962
2003-06-08,0.5942,0.3285,0.6427,0.6208
2003-06-10,0.5418,0.5482,0.568,0.5614
2003-06-15,0.538,0.3465,0.538,0.538
2003-06-19,0.5095,0.7547,0.4715,0.482
2003-06-20,0.457,0.0653,0.4715,0.482
2003-06-21,0.4479,0.5594,0.4715,0.482
2003-06-25,0.669,0.1,0.5201,0.4751
2003-06-26,0.509,0.5797,0.5201,0.4751
2003-06-28,0.3823,0.4202,0.5201,0.4751
2003-07-03,0.4681,0.5522,0.385,0.3901
2003-07-04,0.3471,0.1,0.3714,0.3751
2003-07-05,0.3397,0.7699,0.3714,0.3751
2003-07-07,0.3305,0.4776,0.3598,0.3595
2003-07-10,0.4219,0.4874,0.3619,0.3494
2003-07-11,0.3874,0.1,0.382,0.3708
2003-07-12,0.3078,0.7226,0.382,0.3708
2003-07-14,0.411,0.4717,0.3687,0.3516
2003-07-27,0.3623,0.1,0.3623,0.3623
2003-08-03,0.3608,0.1132,0.2918,0.2453
2003-08-04,0.2227,0.5792,0.2811,0.2466
2003-08-07,0.2598,0.0698,0.2492,0.2374
2003-08-10,0.265,0.2504,0.2624,0.2639
2003-08-16,0.346,0.1252,0.3574,0.3104
2003-08-17,0.257,0.3357,0.327,0.2805
2003-08-19,0.4693,0.0848,0.3094,0.2764
2003-08-20,0.2356,0.3643,0.3002,0.2665
2003-08-21,0.2391,0.1,0.3147,0.2723
2003-08-25,0.2983,0.1585,0.2983,0.2983
2003-09-01,0.196,0.0981,0.2049,0.2101
2003-09-02,0.2137,0.3857,0.1936,0.1898
2003-09-05,0.1712,0.5281,0.2933,0.2983
2003-09-07,0.4949,0.5075,0.3541,0.3443
2003-09-09,0.3963,0.2877,0.4456,0.4592
2003-09-14,0.6079,0.8122,0.6079,0.6079
2003-09-24,0.4888,0.081,0.4834,0.4796
2003-09-25,0.4779,0.4333,0.4834,0.4796
2003-10-07,0.4185,0.4212,0.4185,0.4185
2003-10-13,0.6208,0.2388,0.6208,0.6208
2004-05-02,0.7569,0.6448,0.7569,0.7569
2004-05-06,0.7005,0.4653,0.7005,0.7005
2004-05-20,0.7695,0.5104,0.7153,0.7375
2004-05-22,0.732,0.5299,0.7048,0.7227
2004-05-23,0.6445,0.1438,0.7048,0.7227
2004-05-25,0.6733,0.3545,0.6833,0.6995
2004-06-05,0.7437,0.812,0.7437,0.7437
2004-06-18,0.5809,0.13,0.5809,0.5809
2004-06-30,0.7397,0.6329,0.6678,0.6989
2004-07-02,0.731,0.2861,0.6366,0.6882
2004-07-03,0.5328,0.2107,0.6366,0.6882
2004-07-04,0.543,0.0832,0.5661,0.533
2004-07-07,0.4574,0.76,0.5002,0.4658
2004-07-14,0.4285,0.6679,0.4285,0.4285
2004-07-29,0.3577,0.072,0.358,0.3631
2004-07-30,0.3745,0.6665,0.355,0.3617
2004-07-31,0.3446,0.0709,0.355,0.3617
2004-08-01,0.3552,0.7455,0.355,0.3617
2004-08-02,0.3431,0.1155,0.3544,0.3619
2004-08-15,0.3065,0.7159,0.3035,0.3204
2004-08-17,0.3606,0.469,0.3035,0.3204
2004-08-18,0.2435,0.1166,0.2947,0.3156
2004-08-21,0.2682,0.1299,0.2464,0.2362
2004-08-24,0.2276,0.5811,0.2479,0.235
2004-09-04,0.3759,0.2351,0.3759,0.3759
2004-09-08,0.6406,0.1,0.4918,0.4073
2004-09-11,0.343,0.3625,0.4918,0.4073
2004-09-15,0.3859,0.0799,0.3426,0.3127
2004-09-16,0.2993,0.4349,0.3426,0.3127
2004-09-20,0.343,0.3412,0.2876,0.3065
2004-09-21,0.2706,0.2072,0.2759,0.2975
2004-09-22,0.2491,0.0875,0.2656,0.2585
2004-09-24,0.2407,0.1,0.2373,0.2317
2004-09-25,0.2248,0.8509,0.2274,0.225
2004-09-26,0.2154,0.0642,0.2212,0.2225
2004-09-27,0.2234,0.4214,0.2179,0.219
2004-09-28,0.211,0.1534,0.2173,0.2187
2004-09-29,0.2118,0.1792,0.216,0.2145
2004-09-30,0.1984,0.3063,0.2162,0.2145
2004-10-01,0.2362,0.1,0.2144,0.2094
2004-10-11,0.4785,0.5657,0.4785,0.4785
2005-05-06,0.8256,0.1,0.7772,0.7389
2005-05-07,0.7288,0.8548,0.764,0.7387
2005-05-10,0.7375,0.2152,0.7284,0.7233
2005-05-11,0.7605,0.26,0.7284,0.7186
2005-05-12,0.6796,0.4289,0.7284,0.7186
2005-05-13,0.7358,0.1,0.7284,0.7186
2005-05-18,0.7146,0.3883,0.693,0.6872
2005-05-21,0.6715,0.6757,0.6591,0.6596
2005-05-22,0.6676,0.1,0.6452,0.6462
2005-05-23,0.623,0.7561,0.6452,0.6462
2005-05-24,0.6189,0.0642,0.6452,0.6462
2005-05-28,0.7098,0.3594,0.6859,0.7034
2005-05-29,0.6619,0.0553,0.6859,0.7034
2005-06-08,0.6907,0.9047,0.6405,0.6646
2005-06-09,0.627,0.1,0.6405,0.6646
2005-06-10,0.6504,0.3401,0.6405,0.6646
2005-06-11,0.5939,0.2116,0.6405,0.6646
2005-06-17,0.6141,0.5852,0.5927,0.6041
2005-06-18,0.5734,0.091,0.5927,0.6041
2005-06-19,0.5907,0.2254,0.5927,0.6041
2005-06-25,0.5615,0.0899,0.5796,0.5851
2005-06-28,0.5978,0.1674,0.5633,0.5485
2005-07-01,0.5307,0.5278,0.5142,0.5333
2005-07-02,0.4325,0.0676,0.4864,0.5171
2005-07-04,0.496,0.0703,0.487,0.514
2005-07-07,0.4888,0.0805,0.4924,0.4922
2005-07-12,0.4969,0.4893,0.4381,0.4434
2005-07-15,0.3793,0.4078,0.4242,0.4387
2005-07-16,0.3965,0.1,0.3879,0.3827
2005-07-20,0.3645,0.1186,0.3755,0.381
2005-07-21,0.3866,0.3486,0.386,0.3951
2005-07-24,0.4068,0.5614,0.3967,0.3991
2005-07-28,0.3333,0.5588,0.3149,0.312
2005-07-30,0.3329,0.2357,0.3156,0.3124
2005-07-31,0.2785,0.5027,0.3156,0.3124
2005-08-01,0.3176,0.0955,0.3097,0.2984
2005-08-06,0.3345,0.3666,0.2756,0.2726
2005-08-07,0.2449,0.2901,0.2957,0.2788
2005-08-09,0.2474,0.5839,0.2957,0.2788
2005-08-10,0.3561,0.1,0.2828,0.2578
2005-08-17,0.3066,0.0978,0.2422,0.2142
2005-08-18,0.1963,0.5554,0.2422,0.2142
2005-08-19,0.2236,0.1,0.2422,0.2142
2005-08-23,0.3507,0.3426,0.273,0.2587
2005-08-24,0.3033,0.1402,0.2672,0.2553
2005-08-25,0.1651,0.404,0.2672,0.2553
2005-08-27,0.2499,0.5473,0.2394,0.2254
2005-09-06,0.6826,0.1086,0.6826,0.6826
2005-09-16,0.3271,0.2171,0.3271,0.3271
2005-09-26,0.6309,0.3817,0.6309,0.6309
2005-10-21,0.6883,0.6466,0.6409,0.653
2005-10-22,0.6547,0.1,0.6329,0.6428
2005-10-23,0.6242,0.5709,0.6125,0.6257
2005-10-24,0.5964,0.115,0.6125,0.6257
2005-10-25,0.601,0.3487,0.5973,0.5968
2005-10-26,0.5101,0.2635,0.5829,0.5923
2006-05-06,0.6582,0.2333,0.6582,0.6582
2006-05-11,0.7399,0.0944,0.7399,0.7399
2006-05-16,0.7907,0.1,0.7907,0.7907
2006-05-20,0.7565,0.1115,0.7384,0.7293
2006-05-21,0.7203,0.338,0.7321,0.7237
