date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.6421,0.1502,0.6421,0.6421
2000-05-22,0.4753,0.0969,0.4753,0.4753
2000-06-07,0.5116,0.0869,0.5116,0.5116
2000-06-13,0.4343,0.1741,0.416,0.4101
2000-06-15,0.3978,0.3415,0.416,0.4101
2000-06-22,0.5122,0.276,0.4878,0.4993
2000-06-23,0.4633,0.0992,0.4579,0.4443
2000-06-26,0.3982,0.448,0.4308,0.41
2000-07-04,0.2799,0.1,0.3028,0.3155
2000-07-05,0.3258,0.3444,0.3028,0.3155
2000-07-09,0.3563,0.0846,0.3157,0.3193
2000-07-11,0.2751,0.0707,0.2959,0.3011
2000-07-13,0.2484,0.0682,0.2806,0.2909
2000-07-14,0.3039,0.2664,0.2734,0.2678
2000-07-16,0.2951,0.128,0.2841,0.2722
2000-07-17,0.2444,0.5266,0.2828,0.2719
2000-07-18,0.3287,0.0861,0.2794,0.2711
2000-07-20,0.2419,0.063,0.2755,0.2684
2000-07-21,0.287,0.4928,0.2859,0.2882
2000-07-25,0.2895,0.0769,0.2494,0.2337
2000-07-26,0.2218,0.4878,0.2324,0.2296
2000-07-28,0.2368,0.4949,0.233,0.2322
2000-07-29,0.1816,0.0909,0.2217,0.2296
2000-07-30,0.2465,0.3818,0.2216,0.2327
2000-07-31,0.2216,0.2339,0.2216,0.2327
2000-08-05,0.2551,0.0823,0.2551,0.2551
2000-08-20,0.2551,0.7242,0.241,0.2527
2000-08-22,0.2692,0.4253,0.241,0.2527
2000-08-23,0.1987,0.1616,0.241,0.2527
2000-08-29,0.3189,0.5476,0.3189,0.3189
2000-09-05,0.2442,0.7469,0.2442,0.2442
2000-09-11,0.2507,0.0691,0.2202,0.1965
2000-09-12,0.1896,0.5416,0.2202,0.1965
2000-09-16,0.2767,0.4036,0.2394,0.239
2000-09-19,0.202,0.4104,0.2394,0.239
2000-09-25,0.2578,0.1728,0.3802,0.4532
2000-09-28,0.5026,0.6827,0.3802,0.4532
2000-10-03,0.3306,0.1986,0.3306,0.3306
2000-10-15,0.2705,0.0969,0.2705,0.2705
2000-10-24,0.2124,0.063,0.2124,0.2124
2000-10-31,0.1498,0.0694,0.1498,0.1498
2001-05-01,0.6047,0.5958,0.6047,0.6047
2001-05-07,0.6325,0.1863,0.6325,0.6325
2001-05-12,0.7246,0.593,0.7246,0.7246
2001-05-20,0.6093,0.0853,0.5968,0.5927
2001-05-22,0.5843,0.1682,0.6307,0.6169
2001-05-25,0.6986,0.0749,0.6162,0.5811
2001-05-26,0.5658,0.6122,0.6035,0.5769
2001-05-29,0.5461,0.0746,0.5752,0.5693
2001-06-01,0.6136,0.0875,0.5574,0.5271
2001-06-02,0.5124,0.613,0.563,0.525
2001-06-14,0.3807,0.088,0.3807,0.3807
2001-07-04,0.3414,0.4992,0.3385,0.3385
2001-07-06,0.3355,0.4975,0.3385,0.3385
2001-07-12,0.3997,0.0892,0.3909,0.3841
2001-07-15,0.3821,0.691,0.3641,0.3727
2001-07-16,0.3094,0.1011,0.3484,0.3674
2001-07-17,0.3652,0.3394,0.3484,0.3674
2001-07-19,0.3368,0.1168,0.3284,0.3214
2001-07-22,0.3023,0.8075,0.2906,0.3019
2001-07-23,0.2553,0.0923,0.2847,0.3006
2001-07-24,0.3131,0.5978,0.2815,0.2946
2001-07-25,0.2457,0.1206,0.2815,0.2946
2001-07-26,0.3071,0.2939,0.2773,0.2904
2001-07-27,0.2653,0.3905,0.2828,0.2927
2001-08-01,0.2106,0.0722,0.267,0.2796
2001-08-02,0.2837,0.4367,0.2534,0.2492
2001-08-04,0.3068,0.1172,0.2558,0.2505
2001-08-05,0.2127,0.5219,0.2592,0.2512
2001-08-06,0.2653,0.1,0.253,0.234
2001-08-08,0.2274,0.0877,0.2429,0.2335
2001-08-11,0.2661,0.2514,0.227,0.2129
2001-08-12,0.1947,0.3909,0.2268,0.212
2001-08-13,0.2484,0.1,0.2265,0.2165
2001-08-14,0.1982,0.7554,0.2253,0.2166
2001-08-16,0.2253,0.7694,0.2227,0.2144
2001-08-17,0.2189,0.09,0.2141,0.2123
2001-08-21,0.2149,0.5701,0.2149,0.2149
2001-08-25,0.3184,0.3724,0.2534,0.2475
2001-08-27,0.2614,0.293,0.2358,0.2256
2001-08-28,0.1804,0.4543,0.2358,0.2256
2001-08-29,0.2451,0.1,0.2425,0.2393
2001-08-30,0.1736,0.5081,0.2391,0.2386
2001-09-01,0.3519,0.4718,0.2507,0.2567
2001-09-02,0.2222,0.0761,0.2766,0.2684
2001-09-03,0.2605,0.2976,0.2899,0.2936
2001-09-05,0.3749,0.1373,0.2792,0.2675
2001-09-06,0.24,0.4355,0.2934,0.2711
2001-09-07,0.2983,0.09,0.3312,0.3341
2001-09-10,0.4115,0.4984,0.3249,0.3571
2001-09-11,0.2674,0.1671,0.3337,0.3633
