date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-22,0.5488,0.0599,0.5488,0.5488
2000-06-07,0.5308,0.0871,0.5308,0.5308
2000-06-12,0.7182,0.3463,0.613,0.5912
2000-06-15,0.5079,0.5282,0.5303,0.526
2000-06-16,0.4645,0.069,0.4677,0.4681
2000-06-17,0.4306,0.5526,0.4677,0.4681
2000-06-22,0.575,0.2322,0.5436,0.5572
2000-06-23,0.5122,0.0922,0.5436,0.5572
2000-06-28,0.4007,0.3207,0.3865,0.3863
2000-07-01,0.3723,0.3298,0.362,0.3794
2000-07-04,0.3131,0.0677,0.3427,0.3622
2000-07-09,0.3971,0.0974,0.3615,0.3379
2000-07-10,0.3258,0.4786,0.3317,0.3298
2000-07-13,0.2723,0.0806,0.3087,0.323
2000-07-14,0.3453,0.4552,0.3005,0.309
2000-07-15,0.268,0.168,0.3005,0.309
2000-07-16,0.3323,0.1924,0.3005,0.309
2000-07-17,0.2847,0.4615,0.2958,0.3069
2000-07-20,0.2489,0.0961,0.2668,0.2785
2000-07-25,0.4129,0.0599,0.3358,0.2694
2000-07-28,0.2588,0.8091,0.269,0.254
2000-07-29,0.1973,0.0922,0.2384,0.249
2000-07-30,0.27,0.3925,0.2384,0.249
2000-07-31,0.2059,0.3003,0.2384,0.249
2000-08-01,0.2602,0.1391,0.2334,0.2404
2000-08-19,0.2416,0.0819,0.238,0.2352
2000-08-20,0.2343,0.583,0.2157,0.2238
2000-08-23,0.1713,0.1436,0.2028,0.2218
2000-08-29,0.4724,0.4788,0.4724,0.4724
2000-09-02,0.4906,0.1649,0.3876,0.3336
2000-09-05,0.2845,0.5272,0.3876,0.3336
2000-09-11,0.2867,0.0755,0.2867,0.2867
2000-10-02,0.4942,0.2895,0.3851,0.3764
2000-10-03,0.3567,0.2867,0.3903,0.378
2000-10-05,0.3044,0.3952,0.3903,0.378
2000-10-06,0.406,0.0548,0.3557,0.3323
2000-10-14,0.5002,0.7347,0.4104,0.4799
2000-10-15,0.3206,0.0935,0.4104,0.4799
2000-10-24,0.2606,0.0625,0.2666,0.2681
2000-10-26,0.2726,0.1025,0.2702,0.2741
2000-10-28,0.2775,0.2914,0.2751,0.2762
2001-05-07,0.6674,0.2372,0.6674,0.6674
2001-05-22,0.5864,0.1562,0.6718,0.6426
2001-05-25,0.7571,0.0766,0.6515,0.6189
2001-05-26,0.6109,0.6899,0.684,0.6255
2001-06-01,0.6733,0.1848,0.6733,0.6733
2001-06-13,0.4718,0.5658,0.4718,0.4718
2001-07-06,0.3677,0.7691,0.3677,0.3677
2001-07-13,0.3122,0.4397,0.3221,0.3147
2001-07-16,0.3319,0.0651,0.3533,0.3425
2001-07-19,0.4159,0.1909,0.3504,0.3325
2001-07-22,0.3034,0.5458,0.3217,0.3244
2001-07-24,0.3336,0.6415,0.2919,0.3034
2001-07-25,0.2339,0.1309,0.2919,0.3034
2001-07-26,0.3341,0.323,0.2827,0.2892
2001-07-27,0.2547,0.4157,0.3004,0.2929
2001-07-29,0.2573,0.6738,0.3087,0.2806
2001-07-30,0.3886,0.0845,0.3027,0.2752
2001-08-02,0.31,0.3148,0.3115,0.2755
2001-08-04,0.3265,0.1416,0.2852,0.2672
2001-08-05,0.2208,0.506,0.2852,0.2672
2001-08-06,0.2836,0.1,0.277,0.2492
2001-08-10,0.2494,0.1306,0.2485,0.2404
2001-08-11,0.2768,0.3265,0.2399,0.225
2001-08-12,0.2044,0.428,0.2399,0.225
2001-08-13,0.2635,0.1,0.2399,0.225
2001-08-14,0.2054,0.77,0.2291,0.2218
2001-08-17,0.1954,0.0767,0.2361,0.2355
2001-08-18,0.3074,0.3651,0.2514,0.288
2001-08-22,0.2806,0.0922,0.2998,0.3111
2001-08-25,0.319,0.3535,0.2794,0.2728
2001-08-27,0.3006,0.2447,0.2769,0.272
2001-08-28,0.2175,0.4308,0.2769,0.272
2001-08-29,0.2706,0.0884,0.305,0.334
2001-09-01,0.4311,0.6586,0.3154,0.3746
2001-09-02,0.2534,0.0935,0.3522,0.3893
2001-09-03,0.3066,0.245,0.3364,0.3594
2001-09-05,0.4175,0.1931,0.3127,0.3097
2001-09-06,0.2733,0.4126,0.3275,0.3154
2001-09-07,0.3126,0.0625,0.3595,0.3707
2001-09-10,0.4347,0.5433,0.3335,0.3676
2001-09-11,0.2642,0.1817,0.3404,0.3709
2001-09-12,0.3223,0.314,0.3303,0.3433
2001-09-15,0.3001,0.666,0.2825,0.301
2001-09-18,0.2251,0.0806,0.2777,0.295
2001-09-21,0.308,0.1755,0.2792,0.2968
2001-09-24,0.3044,0.4977,0.4064,0.523
2001-09-25,0.2118,0.0884,0.4391,0.5541
2001-09-26,0.8012,0.6255,0.4391,0.5541
2001-10-01,0.4371,0.7476,0.351,0.3979
2001-10-03,0.3664,0.458,0.351,0.3979
2001-10-04,0.2496,0.1,0.351,0.3979
2001-10-08,0.3835,0.5456,0.3084,0.3602
2001-10-11,0.2332,0.1,0.3084,0.3602
2001-10-20,0.2864,0.0625,0.2864,0.2864
2001-10-27,0.1702,0.1,0.1702,0.1702
2002-05-01,0.7151,0.374,0.7151,0.7151
2002-05-12,0.7782,0.0871,0.6725,0.6993
2002-05-13,0.7107,0.7932,0.6382,0.684
2002-05-14,0.5287,0.0935,0.6335,0.6687
2002-05-16,0.535,0.1,0.5973,0.6613
2002-05-17,0.6149,0.3055,0.5595,0.5827
2002-05-26,0.7077,0.2795,0.6425,0.63
2002-05-27,0.5773,0.4118,0.6425,0.63
2002-06-04,0.6802,0.109,0.6802,0.6802
2002-06-08,0.5904,0.0767,0.541,0.5206
2002-06-10,0.4915,0.1837,0.541,0.5206
2002-06-15,0.5379,0.0871,0.5379,0.5379
