date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-20,0.8349,0.2074,0.8004,0.8123
2000-05-22,0.7658,0.1011,0.8004,0.8123
2000-06-07,0.7231,0.1259,0.7231,0.7231
2000-06-12,0.8148,0.5394,0.8008,0.8043
2000-06-15,0.7867,0.3214,0.7661,0.7941
2000-06-16,0.6967,0.0898,0.7417,0.767
2000-06-22,0.763,0.2546,0.7067,0.7246
2000-06-23,0.6903,0.1505,0.6943,0.6882
2000-06-25,0.6669,0.0796,0.6809,0.6751
2000-06-26,0.6569,0.5648,0.6604,0.6544
2000-06-28,0.6275,0.2886,0.6504,0.6487
2000-07-09,0.535,0.1549,0.5052,0.4872
2000-07-12,0.4753,0.6223,0.4778,0.4761
2000-07-14,0.4672,0.4346,0.4606,0.468
2000-07-15,0.4338,0.112,0.4487,0.4641
2000-07-16,0.4659,0.2053,0.4421,0.4557
2000-07-18,0.4014,0.0853,0.4083,0.3888
2000-07-21,0.3322,0.3881,0.3668,0.3447
2000-07-26,0.2839,0.5444,0.2789,0.2875
2000-07-28,0.2949,0.5687,0.2743,0.282
2000-07-29,0.2579,0.0762,0.2878,0.2879
2000-07-30,0.2606,0.3065,0.2887,0.2898
2000-08-01,0.3415,0.1643,0.2867,0.2845
2000-08-19,0.2468,0.0569,0.2468,0.2468
2000-08-29,0.8245,0.9337,0.8245,0.8245
2000-09-11,0.3601,0.1055,0.3684,0.3559
2000-09-12,0.3504,0.5541,0.3684,0.3559
2000-09-13,0.3947,0.0671,0.447,0.4547
2000-09-16,0.683,0.3147,0.5389,0.6323
2000-10-02,0.8922,0.4965,0.8431,0.8489
2000-10-03,0.834,0.1473,0.8431,0.8489
2000-10-04,0.8574,0.1376,0.8431,0.8489
2000-10-05,0.7888,0.3409,0.8431,0.8489
2000-10-15,0.9055,0.0592,0.8785,0.8552
2000-10-16,0.8515,0.8038,0.8785,0.8552
2000-10-24,0.8899,0.0637,0.8899,0.8899
2000-10-28,0.9454,0.2312,0.9522,0.9494
2000-10-29,0.959,0.0956,0.9522,0.9494
2001-05-07,0.8678,0.41,0.8678,0.8678
2001-05-25,0.8588,0.1536,0.8402,0.8287
2001-05-26,0.8216,0.6527,0.8402,0.8287
2001-06-10,0.84,0.0937,0.84,0.84
2001-07-17,0.5347,0.3228,0.5347,0.5347
2001-07-22,0.4897,0.4293,0.4566,0.4754
2001-07-23,0.4572,0.0796,0.4476,0.4584
2001-07-25,0.423,0.0896,0.438,0.443
2001-07-26,0.4205,0.2674,0.425,0.416
2001-07-27,0.3994,0.3064,0.4143,0.4111
2001-08-04,0.4163,0.191,0.3564,0.3455
2001-08-05,0.3873,0.2384,0.3564,0.3455
2001-08-06,0.3288,0.1,0.3564,0.3455
2001-08-07,0.293,0.4163,0.3534,0.3451
2001-08-10,0.3417,0.0986,0.3212,0.3188
2001-08-11,0.372,0.3371,0.3154,0.3039
2001-08-12,0.2927,0.288,0.315,0.3043
2001-08-13,0.3068,0.1597,0.315,0.3043
2001-08-14,0.2639,0.5992,0.3097,0.3018
2001-08-15,0.3129,0.0739,0.2941,0.2806
2001-08-21,0.4003,0.4055,0.4003,0.4003
2001-08-27,0.585,0.2778,0.4916,0.5324
2001-08-29,0.3983,0.109,0.4916,0.5324
2001-09-06,0.3907,0.2476,0.3766,0.3828
2001-09-07,0.3624,0.0966,0.5109,0.6283
2001-09-10,0.7797,0.5583,0.5273,0.6786
2001-09-11,0.4398,0.1086,0.6098,0.7243
2001-09-15,0.5836,0.5256,0.5836,0.5836
2001-09-25,0.3443,0.066,0.3443,0.3443
2001-10-01,0.8624,0.6597,0.7252,0.79
2001-10-03,0.7237,0.5305,0.6805,0.7297
2001-10-04,0.5896,0.0626,0.6805,0.7297
2001-10-05,0.5462,0.4115,0.6776,0.7067
2001-10-08,0.8509,0.4462,0.6986,0.7021
2001-10-10,0.6986,0.6399,0.7288,0.7177
2001-10-12,0.6368,0.5833,0.6677,0.6691
2001-10-16,0.7273,0.0818,0.7273,0.7273
2002-05-01,0.8483,0.4654,0.8483,0.8483
2002-05-14,0.8134,0.1,0.7918,0.779
2002-05-17,0.7703,0.3941,0.7918,0.779
2002-05-21,0.8055,0.1,0.8055,0.8055
2002-06-04,0.83,0.2711,0.83,0.83
2002-06-10,0.7143,0.1102,0.7137,0.7134
2002-06-11,0.7131,0.2931,0.7137,0.7134
2002-06-15,0.7984,0.0898,0.7626,0.7337
2002-06-16,0.7267,0.8296,0.7626,0.7337
2002-06-22,0.8077,0.1,0.7252,0.7335
2002-06-24,0.6428,0.0819,0.6986,0.6999
2002-06-26,0.6452,0.1117,0.644,0.6442
2002-07-19,0.5501,0.0909,0.5673,0.5817
2002-07-20,0.6063,0.3142,0.5673,0.5817
2002-07-21,0.5456,0.1343,0.5673,0.5817
2002-07-27,0.6981,0.6626,0.5891,0.6757
2002-07-28,0.48,0.076,0.5917,0.6654
2002-07-31,0.5971,0.1105,0.5459,0.557
2002-08-01,0.5605,0.4058,0.5788,0.5683
2002-08-12,0.5377,0.5486,0.4925,0.5074
2002-08-13,0.4611,0.1108,0.4925,0.5074
2002-08-14,0.4786,0.3995,0.4925,0.5074
2002-08-23,0.4921,0.2482,0.5257,0.5036
2002-08-25,0.5593,0.0512,0.5257,0.5036
2002-09-06,0.5109,0.472,0.5109,0.5109
2002-09-22,0.8013,0.5728,0.7575,0.7784
2002-09-23,0.7137,0.2022,0.684,0.752
2002-09-26,0.5371,0.0955,0.5672,0.5222
2002-09-27,0.4507,0.5611,0.4939,0.4633
2002-10-06,0.7964,0.8669,0.7779,0.7926
2002-10-07,0.7594,0.1,0.7779,0.7926
2002-10-18,0.8501,0.3471,0.8486,0.8495
2002-10-19,0.8472,0.0898,0.8886,0.93
2002-10-22,0.9684,0.9144,0.9078,0.9576
2002-10-28,1.0509,0.069,1.0509,1.0509
2003-05-01,0.7934,0.0841,0.7934,0.7934
2003-05-06,0.859,0.1466,0.8918,0.8856
2003-05-08,0.9245,0.1,0.8562,0.8106
2003-05-11,0.785,0.723,0.8548,0.802
2003-05-22,0.7057,0.1955,0.7198,0.7131
2003-05-24,0.7338,0.0705,0.7198,0.7131
2003-06-02,0.865,0.1,0.8769,0.8851
2003-06-05,0.8887,0.555,0.8769,0.8851
2003-06-10,0.7334,0.4813,0.6799,0.715
2003-06-11,0.6263,0.1,0.6799,0.715
2003-06-19,0.7003,0.745,0.7003,0.7003
2003-06-28,0.6352,0.4629,0.6352,0.6352
2003-07-03,0.6971,0.5063,0.6041,0.6664
2003-07-04,0.5111,0.1,0.5754,0.6137
2003-07-07,0.5181,0.3347,0.533,0.5426
2003-07-10,0.5697,0.4184,0.5168,0.5099
2003-07-11,0.5275,0.1,0.5163,0.5072
2003-07-12,0.4518,0.5091,0.5163,0.5072
2003-08-03,0.5216,0.137,0.44,0.3952
2003-08-04,0.3584,0.4708,0.44,0.3952
2003-08-10,0.4083,0.2497,0.4083,0.4083
2003-08-21,0.4303,0.0796,0.4303,0.4303
2003-08-25,0.3942,0.2295,0.3942,0.3942
2003-09-01,0.3816,0.0985,0.3532,0.3378
2003-09-02,0.3247,0.3297,0.333,0.3106
2003-09-05,0.2927,0.6515,0.4739,0.4891
2003-09-07,0.8044,0.5775,0.5882,0.5684
2003-09-09,0.6674,0.4376,0.7359,0.7453
2003-09-24,0.6944,0.0977,0.7082,0.7155
2003-09-25,0.7263,0.4181,0.7082,0.7155
2003-09-27,0.7038,0.2114,0.7082,0.7155
2003-10-05,0.8131,0.2959,0.7572,0.7523
2003-10-07,0.7012,0.3521,0.7572,0.7523
2003-10-13,0.7276,0.261,0.7276,0.7276
2004-05-13,0.8708,0.4379,0.8708,0.8708
2004-05-20,0.8745,0.7141,0.8325,0.8516
2004-05-22,0.8578,0.4024,0.8212,0.8343
2004-05-23,0.7652,0.2188,0.8212,0.8343
2004-05-25,0.7875,0.493,0.8035,0.8085
2004-06-05,0.8798,0.947,0.8798,0.8798
2004-06-11,0.8746,0.0679,0.7766,0.7579
2004-06-13,0.6786,0.1,0.7766,0.7579
2004-06-30,0.8557,0.7484,0.8552,0.8554
2004-07-02,0.8547,0.2818,0.7976,0.8365
2004-07-04,0.6823,0.1262,0.7234,0.6964
2004-07-07,0.6332,0.6785,0.6578,0.6409
2004-07-27,0.6723,0.1645,0.6087,0.5984
2004-07-29,0.5727,0.0569,0.5721,0.5674
2004-07-30,0.5811,0.619,0.5606,0.5625
2004-07-31,0.517,0.0932,0.5383,0.5487
2004-08-01,0.5176,0.4289,0.5383,0.5487
2004-08-02,0.5029,0.1114,0.5296,0.5476
2004-08-15,0.4849,0.7361,0.4849,0.4849
2004-08-21,0.4055,0.1002,0.4055,0.4055
2004-09-04,0.604,0.4029,0.604,0.604
2004-09-08,0.8063,0.083,0.8063,0.8063
2004-09-13,0.8018,0.2601,0.6429,0.6546
2004-09-14,0.5733,0.3509,0.6429,0.6546
2004-09-15,0.5536,0.0966,0.6615,0.6797
2004-09-18,0.7173,0.4738,0.5921,0.6376
2004-09-21,0.5055,0.2247,0.6114,0.6492
2004-09-26,0.4057,0.0558,0.3857,0.3841
2004-09-27,0.3901,0.5617,0.382,0.3788
2004-09-28,0.3635,0.2149,0.3834,0.3794
2004-09-29,0.3833,0.2155,0.3834,0.3794
2004-09-30,0.3674,0.4874,0.3789,0.3785
2004-10-01,0.3901,0.0875,0.3761,0.372
2004-10-11,0.8242,0.6196,0.8251,0.8246
2004-10-14,0.826,0.1783,0.8251,0.8246
2004-10-23,0.8947,0.3215,0.8834,0.8908
2004-10-26,0.872,0.0658,0.8159,0.7693
2004-10-29,0.681,0.5334,0.7765,0.702
2005-05-06,0.8989,0.1,0.8989,0.8989
2005-05-10,0.8311,0.2197,0.8316,0.8343
