date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-18,0.8484,0.2669,0.8237,0.8213
2000-05-19,0.813,0.1623,0.8237,0.8213
2000-05-20,0.8393,0.1502,0.8237,0.8213
2000-05-21,0.794,0.3151,0.7967,0.8104
2000-05-24,0.6886,0.0803,0.7413,0.7726
2000-05-30,0.8411,0.6862,0.8411,0.8411
2000-06-07,0.8008,0.0748,0.8008,0.8008
2000-06-11,0.745,0.1496,0.7757,0.7698
2000-06-12,0.813,0.2057,0.7698,0.7599
2000-06-13,0.7453,0.2927,0.7661,0.7591
2000-06-14,0.7994,0.0673,0.7643,0.7576
2000-06-15,0.7462,0.5161,0.7675,0.7587
2000-06-16,0.7475,0.0907,0.7584,0.7511
2000-06-17,0.7538,0.5022,0.7617,0.7526
2000-06-22,0.8074,0.293,0.7493,0.7847
2000-06-25,0.6912,0.0711,0.7486,0.7644
2000-06-26,0.7698,0.3703,0.729,0.746
2000-06-28,0.7261,0.2454,0.729,0.746
2000-07-03,0.6657,0.832,0.6438,0.6616
2000-07-04,0.5969,0.1,0.6438,0.6616
2000-07-05,0.6688,0.4262,0.6438,0.6616
2000-07-09,0.7343,0.0874,0.6468,0.6456
2000-07-11,0.5661,0.0698,0.6148,0.6133
2000-07-12,0.6399,0.3906,0.5969,0.5859
2000-07-13,0.5395,0.1546,0.5731,0.5771
2000-07-14,0.594,0.3226,0.5716,0.5734
2000-07-15,0.5076,0.359,0.5873,0.5778
2000-07-16,0.5913,0.11,0.5785,0.5618
2000-07-17,0.5629,0.4924,0.5863,0.5643
2000-07-18,0.6759,0.0764,0.5844,0.5551
2000-07-22,0.4855,0.1501,0.56,0.5334
2000-07-25,0.6345,0.0711,0.5327,0.5217
2000-07-27,0.4781,0.0593,0.5056,0.4868
2000-07-29,0.4473,0.1181,0.4626,0.4603
2000-07-30,0.4625,0.2183,0.4588,0.4528
2000-08-02,0.4471,0.5274,0.5256,0.5544
2000-08-04,0.7457,0.4515,0.5466,0.5731
2000-08-05,0.447,0.0908,0.5466,0.5731
2000-08-20,0.4814,0.5001,0.5565,0.5574
2000-08-22,0.6493,0.4521,0.5565,0.5574
2000-08-23,0.5389,0.1929,0.5565,0.5574
2000-09-02,0.8304,0.121,0.736,0.6946
2000-09-04,0.7032,0.0606,0.736,0.6946
2000-09-05,0.6745,0.845,0.736,0.6946
2000-09-09,0.8501,0.1354,0.7905,0.801
2000-09-10,0.7983,0.3718,0.7905,0.801
2000-09-11,0.7231,0.0724,0.7905,0.801
2000-09-18,0.8414,0.0937,0.7822,0.7432
2000-09-19,0.723,0.4562,0.7822,0.7432
2000-10-02,1.0093,0.2395,0.9544,0.9353
2000-10-03,0.9183,0.3617,0.9544,0.9353
2000-10-04,0.979,0.0867,0.9372,0.9145
2000-10-05,0.911,0.6323,0.9372,0.9145
2000-10-07,0.8685,0.5978,0.9195,0.8962
2000-10-14,1.0189,0.8331,0.9652,1.0089
2000-10-15,0.9114,0.0856,0.9652,1.0089
2000-10-28,1.0125,0.565,1.0058,1.0112
2000-10-31,0.999,0.0593,1.0058,1.0112
2001-05-07,0.8444,0.224,0.8444,0.8444
2001-05-12,0.8916,0.4941,0.8916,0.8916
2001-05-18,0.9087,0.1,0.9087,0.9087
2001-05-22,0.857,0.266,0.8912,0.8747
2001-05-25,0.9253,0.0932,0.8912,0.8747
2001-05-29,0.8407,0.1287,0.8407,0.8407
2001-06-04,0.7815,0.4604,0.7815,0.7815
2001-06-13,0.7531,0.4305,0.7113,0.7308
2001-06-14,0.6694,0.1561,0.7113,0.7308
2001-07-04,0.6782,0.5662,0.7093,0.691
2001-07-05,0.754,0.058,0.7093,0.691
2001-07-06,0.6956,0.7664,0.7093,0.691
2001-07-11,0.8138,0.3831,0.8068,0.8054
2001-07-13,0.7998,0.5733,0.7432,0.7582
2001-07-15,0.7059,0.5996,0.7043,0.7214
2001-07-16,0.6534,0.1316,0.6934,0.7177
2001-07-17,0.7005,0.2702,0.6721,0.6852
2001-07-18,0.6618,0.3518,0.687,0.6882
2001-07-19,0.6391,0.0907,0.6749,0.6575
2001-07-21,0.7614,0.0603,0.6545,0.64
2001-07-22,0.6333,0.708,0.634,0.6186
2001-07-23,0.6135,0.0659,0.6373,0.6213
2001-07-24,0.6178,0.3817,0.6267,0.6092
2001-07-25,0.5387,0.2526,0.6047,0.6047
2001-07-26,0.6589,0.1525,0.6,0.59
2001-07-27,0.5631,0.4266,0.5738,0.5824
2001-07-28,0.6077,0.0987,0.5856,0.5999
2001-07-30,0.4568,0.0672,0.5733,0.6007
2001-07-31,0.6882,0.3515,0.5758,0.626
2001-08-01,0.5507,0.1157,0.5774,0.6268
2001-08-04,0.6138,0.1034,0.5499,0.5347
2001-08-05,0.5173,0.7211,0.5497,0.5335
2001-08-06,0.5289,0.1,0.5497,0.5335
2001-08-07,0.5388,0.7383,0.5391,0.5292
2001-08-10,0.4969,0.225,0.5114,0.5106
2001-08-11,0.5651,0.1669,0.487,0.4635
2001-08-12,0.4647,0.5446,0.487,0.4635
2001-08-13,0.4914,0.1,0.487,0.4635
2001-08-14,0.417,0.6003,0.4846,0.4582
2001-08-18,0.468,0.189,0.468,0.468
2001-08-25,0.7279,0.3076,0.6076,0.5738
2001-08-28,0.4873,0.5476,0.5834,0.5698
2001-08-29,0.535,0.1,0.6333,0.6841
2001-09-01,0.8775,0.6344,0.6961,0.8065
2001-09-02,0.6759,0.137,0.8083,0.8456
2001-09-05,0.8716,0.1165,0.7415,0.6999
2001-09-06,0.677,0.7295,0.7743,0.7038
2001-09-10,0.8855,0.486,0.804,0.8235
2001-09-11,0.752,0.2692,0.804,0.8235
2001-09-12,0.7746,0.2235,0.8171,0.8388
2001-09-15,0.8562,0.8625,0.8089,0.8226
2001-09-17,0.7958,0.683,0.7866,0.809
2001-09-19,0.7078,0.3141,0.7392,0.7347
2001-09-21,0.7715,0.0944,0.7767,0.798
2001-09-22,0.6819,0.6954,0.7767,0.798
2001-09-24,0.9455,0.7566,0.7996,0.8163
2001-10-01,0.9848,0.7834,0.9104,0.9478
2001-10-03,0.9119,0.502,0.8982,0.9301
2001-10-04,0.8345,0.097,0.8982,0.9301
2001-10-05,0.8617,0.3561,0.8694,0.8853
2001-10-09,0.9527,0.0869,0.9527,0.9527
2001-10-14,0.9913,0.191,0.9646,0.9734
2001-10-16,0.9379,0.0961,0.9646,0.9734
2001-10-28,0.9804,0.314,0.9804,0.9804
2002-05-01,0.9547,0.2829,0.9547,0.9547
2002-05-09,0.8678,0.2771,0.8678,0.8678
2002-05-13,0.8857,0.9348,0.8241,0.8659
2002-05-14,0.7896,0.1,0.8241,0.8659
2002-05-16,0.797,0.1586,0.8241,0.8659
2002-05-20,0.8625,0.7088,0.8625,0.8625
2002-05-25,0.8327,0.2694,0.8168,0.8057
2002-05-26,0.8365,0.2066,0.8168,0.8057
2002-05-27,0.7813,0.5578,0.8168,0.8057
2002-06-10,0.7873,0.2217,0.7808,0.7808
2002-06-11,0.7744,0.2232,0.7808,0.7808
2002-06-15,0.739,0.1,0.7418,0.763
2002-06-16,0.7823,0.6112,0.7554,0.7729
2002-06-17,0.704,0.1598,0.7554,0.7729
2002-06-19,0.7964,0.3681,0.7874,0.7832
2002-06-22,0.8667,0.1,0.7871,0.7944
2002-06-24,0.6942,0.0711,0.7698,0.7675
2002-06-25,0.7912,0.253,0.7698,0.7675
2002-06-26,0.7271,0.2655,0.7375,0.7506
2002-07-07,0.76,0.591,0.7431,0.7469
2002-07-08,0.7306,0.0961,0.7431,0.7469
2002-07-09,0.7386,0.7419,0.7431,0.7469
2002-07-17,0.7182,0.0593,0.6745,0.6677
2002-07-19,0.6282,0.1558,0.6746,0.6382
2002-07-20,0.6771,0.3379,0.6746,0.6382
2002-07-21,0.5717,0.3708,0.6637,0.6331
2002-07-22,0.7777,0.0599,0.6637,0.6331
2002-07-27,0.7288,0.3995,0.7225,0.7227
2002-07-28,0.7035,0.2378,0.7225,0.7227
2002-07-29,0.7352,0.1674,0.7225,0.7227
2002-08-12,0.6317,0.3343,0.6108,0.6119
2002-08-13,0.5811,0.2718,0.6108,0.6119
2002-08-14,0.6196,0.2229,0.6108,0.6119
2002-08-25,0.7362,0.0906,0.7362,0.7362
2002-08-29,0.7976,0.2075,0.7758,0.7658
2002-08-31,0.7539,0.554,0.7758,0.7658
2002-09-14,0.9324,0.2702,0.9324,0.9324
2002-09-20,1.0317,0.6828,0.9651,0.9778
2002-09-22,0.9717,0.3396,0.9361,0.9431
2002-09-23,0.8919,0.4049,0.9361,0.9431
2002-09-25,0.8491,0.5256,0.9042,0.8955
2002-09-29,0.9019,0.3391,0.9019,0.9019
2002-10-05,0.9121,0.0698,0.9022,0.8986
2002-10-07,0.8922,0.1485,0.9022,0.8986
2002-10-13,0.9839,0.862,0.9839,0.9839
2002-10-17,1.1698,0.1587,1.1051,1.0734
2002-10-18,1.0418,0.5665,1.1051,1.0734
2002-10-19,1.1037,0.0856,1.1183,1.1073
2002-10-22,1.158,0.5436,1.1309,1.1506
2002-10-28,1.1932,0.0555,1.1932,1.1932
2003-05-01,0.8321,0.1,0.8601,0.8781
2003-05-02,0.888,0.4631,0.8601,0.8781
2003-05-10,0.7973,0.1,0.8061,0.8172
2003-05-11,0.8481,0.5015,0.808,0.8167
2003-05-12,0.7765,0.2531,0.811,0.8172
2003-05-13,0.8026,0.2199,0.811,0.8172
2003-05-14,0.8156,0.5501,0.8138,0.8184
2003-05-15,0.826,0.1,0.8052,0.8052
2003-05-21,0.7602,0.3947,0.7844,0.8035
2003-05-23,0.8324,0.6696,0.7478,0.78
2003-05-24,0.7606,0.0528,0.7478,0.78
2003-05-25,0.7644,0.7698,0.7447,0.785
2003-05-26,0.6215,0.0895,0.7447,0.785
2003-06-02,0.8152,0.1,0.8327,0.8454
2003-06-03,0.8501,0.6394,0.8327,0.8454
2003-06-07,0.8302,0.1135,0.8147,0.8043
2003-06-08,0.8374,0.3924,0.7768,0.7924
2003-06-10,0.7765,0.5712,0.7821,0.7945
2003-06-11,0.6633,0.1,0.7744,0.7916
2003-06-12,0.8031,0.2973,0.7587,0.7765
2003-06-14,0.7917,0.2249,0.7494,0.7729
2003-06-16,0.7394,0.0672,0.7863,0.8091
2003-06-19,0.8279,0.4572,0.7438,0.7691
2003-06-20,0.6657,0.1567,0.7453,0.7713
2003-06-21,0.7422,0.3212,0.7453,0.7713
2003-06-25,0.846,0.0958,0.7988,0.7641
2003-06-26,0.7516,0.6269,0.7988,0.7641
2003-07-03,0.6929,0.8858,0.6066,0.668
2003-07-04,0.5696,0.1,0.6066,0.668
2003-07-06,0.5573,0.11,0.6066,0.668
2003-07-11,0.7938,0.0882,0.7621,0.7494
2003-07-12,0.8148,0.4839,0.7071,0.7248
2003-07-14,0.6777,0.4963,0.7071,0.7248
2003-07-15,0.542,0.1438,0.6823,0.7177
2003-07-18,0.6948,0.0803,0.6254,0.6283
2003-07-21,0.6394,0.6366,0.6671,0.6456
2003-07-27,0.882,0.058,0.882,0.882
2003-08-01,0.7197,0.2,0.7032,0.7099
2003-08-02,0.7141,0.3503,0.7032,0.7099
2003-08-03,0.6758,0.1,0.7348,0.7597
2003-08-06,0.8295,0.463,0.7376,0.7853
2003-08-07,0.7074,0.1224,0.7685,0.804
2003-08-14,0.6684,0.0514,0.6198,0.6229
2003-08-15,0.7261,0.304,0.6256,0.6308
2003-08-16,0.5464,0.2838,0.6256,0.6308
2003-08-17,0.5385,0.142,0.6206,0.6169
2003-08-18,0.6485,0.3507,0.6027,0.6133
2003-08-20,0.5954,0.7385,0.586,0.6016
2003-08-21,0.5615,0.0724,0.6018,0.6093
2003-08-25,0.6323,0.4207,0.5873,0.5948
2003-08-26,0.5465,0.0627,0.5873,0.5948
2003-08-27,0.5783,0.7583,0.5873,0.5948
2003-08-28,0.5919,0.0961,0.6128,0.6266
2003-08-31,0.7151,0.4817,0.6068,0.6313
2003-09-01,0.5419,0.2856,0.6118,0.6352
