date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-21,0.5409,0.3211,0.5357,0.5327
2000-05-22,0.5411,0.0924,0.5357,0.5327
2000-05-23,0.525,0.4423,0.5357,0.5327
2000-06-07,0.5421,0.0785,0.5421,0.5421
2000-06-13,0.5634,0.2447,0.5139,0.5411
2000-06-16,0.4644,0.071,0.5139,0.5411
2000-06-22,0.5509,0.4728,0.5509,0.5509
2000-07-03,0.4249,0.537,0.3807,0.4116
2000-07-04,0.3365,0.0949,0.3807,0.4116
2000-07-09,0.4057,0.1,0.3741,0.3848
2000-07-10,0.3505,0.4449,0.3604,0.3791
2000-07-11,0.3297,0.0659,0.3601,0.3744
2000-07-12,0.4106,0.6518,0.3537,0.3664
2000-07-13,0.3057,0.0975,0.346,0.3636
2000-07-14,0.3583,0.3958,0.3431,0.3575
2000-07-15,0.3151,0.2743,0.3433,0.3574
2000-07-16,0.3524,0.1426,0.3318,0.3336
2000-07-17,0.3298,0.5686,0.3362,0.3349
2000-07-18,0.3315,0.0798,0.3318,0.3295
2000-07-19,0.33,0.6363,0.3359,0.3322
2000-07-25,0.3898,0.0899,0.3183,0.2901
2000-07-26,0.2784,0.65,0.2928,0.2856
2000-07-28,0.2867,0.4133,0.2941,0.288
2000-07-29,0.2162,0.0747,0.2702,0.2815
2000-07-30,0.2995,0.2634,0.2675,0.2842
2000-08-19,0.2459,0.0747,0.2873,0.3197
2000-08-20,0.3287,0.6154,0.2792,0.3125
2000-08-23,0.263,0.1015,0.2959,0.3194
2000-08-29,0.4992,0.5076,0.4992,0.4992
2000-09-02,0.4766,0.102,0.4416,0.4456
2000-09-04,0.4067,0.0811,0.4416,0.4456
2000-09-12,0.2602,0.5492,0.2602,0.2602
2000-09-19,0.3115,0.3858,0.3115,0.3115
2000-10-07,0.3773,0.5342,0.3773,0.3773
2000-10-14,0.4789,0.5192,0.3639,0.4552
2000-10-15,0.2489,0.0596,0.3639,0.4552
2000-10-19,0.3231,0.1938,0.3231,0.3231
2001-05-07,0.6576,0.198,0.6576,0.6576
2001-05-22,0.625,0.1742,0.6706,0.6555
2001-05-25,0.7161,0.0875,0.6591,0.6413
2001-05-26,0.6363,0.7394,0.6762,0.6447
2001-06-02,0.5926,0.4308,0.5626,0.5605
2001-06-04,0.5325,0.4927,0.5626,0.5605
2001-06-08,0.5854,0.2421,0.5854,0.5854
2001-06-14,0.4301,0.0899,0.4301,0.4301
2001-07-04,0.4126,0.5043,0.4091,0.4083
2001-07-06,0.4056,0.7922,0.4091,0.4083
2001-07-12,0.4839,0.0508,0.4244,0.4052
2001-07-13,0.3638,0.4361,0.4072,0.4031
2001-07-15,0.4255,0.6902,0.4072,0.4031
2001-07-16,0.3555,0.052,0.388,0.4001
2001-07-19,0.4072,0.0904,0.3774,0.3722
2001-07-22,0.3696,0.9007,0.3555,0.3623
2001-07-23,0.3017,0.0722,0.3436,0.3593
2001-07-24,0.3433,0.3329,0.3368,0.3483
2001-07-26,0.3599,0.2997,0.3222,0.3181
2001-07-27,0.3097,0.4593,0.3273,0.3188
2001-07-29,0.2963,0.7263,0.3073,0.3103
2001-08-01,0.2631,0.0949,0.307,0.3058
2001-08-02,0.3111,0.3172,0.3019,0.2965
2001-08-04,0.3574,0.1784,0.3012,0.2966
2001-08-05,0.2758,0.5976,0.3107,0.2993
2001-08-06,0.2985,0.1,0.3106,0.295
2001-08-10,0.3055,0.1027,0.2815,0.2697
2001-08-11,0.2966,0.3031,0.2751,0.2603
2001-08-12,0.2351,0.3979,0.2751,0.2603
2001-08-13,0.2887,0.1,0.2832,0.2769
2001-08-14,0.2498,0.8034,0.2698,0.2741
2001-08-16,0.3234,0.61,0.2718,0.2796
2001-08-17,0.2253,0.0672,0.2662,0.279
2001-08-22,0.2209,0.0533,0.2209,0.2209
2001-08-27,0.3661,0.1757,0.2866,0.257
2001-08-28,0.2466,0.3195,0.2866,0.257
2001-08-29,0.3064,0.0848,0.3245,0.3273
2001-08-30,0.2273,0.6758,0.3168,0.325
2001-09-01,0.4762,0.5937,0.3244,0.3364
2001-09-02,0.2785,0.0949,0.3607,0.3459
2001-09-03,0.3335,0.3974,0.3847,0.3909
2001-09-05,0.4879,0.0992,0.3579,0.3484
2001-09-06,0.3472,0.6133,0.3778,0.3538
2001-09-07,0.3425,0.1,0.4185,0.4159
2001-09-10,0.4964,0.5265,0.3837,0.421
2001-09-11,0.3173,0.2021,0.3975,0.4289
2001-09-12,0.3787,0.258,0.3862,0.3954
2001-09-15,0.3525,0.77,0.3409,0.3534
2001-09-18,0.2915,0.0937,0.3149,0.3412
2001-09-21,0.3008,0.0995,0.2955,0.2948
2001-09-24,0.2942,0.5121,0.3988,0.5167
2001-09-25,0.2099,0.0962,0.4315,0.5344
2001-09-26,0.7903,0.6028,0.4315,0.5344
2001-10-01,0.4337,0.5212,0.3575,0.3904
2001-10-03,0.3735,0.6251,0.3634,0.3883
2001-10-04,0.2653,0.0962,0.3634,0.3883
2001-10-05,0.3812,0.3587,0.344,0.3639
2001-10-08,0.3559,0.336,0.3113,0.35
2001-10-11,0.1967,0.0861,0.2763,0.3234
2001-10-20,0.2452,0.0848,0.2452,0.2452
2001-10-27,0.167,0.0685,0.167,0.167
2002-05-01,0.7569,0.3745,0.7569,0.7569
2002-05-13,0.7108,0.7702,0.5841,0.6714
2002-05-14,0.502,0.1,0.5841,0.6714
2002-05-16,0.5395,0.1014,0.5841,0.6714
2002-05-27,0.5804,0.3853,0.5804,0.5804
2002-06-10,0.5595,0.1318,0.5595,0.5595
2002-06-15,0.4947,0.0924,0.536,0.5669
2002-06-16,0.5773,0.6422,0.536,0.5669
2002-06-22,0.6458,0.0949,0.5483,0.5583
2002-06-23,0.563,0.7413,0.5274,0.5453
2002-06-24,0.4361,0.0962,0.5274,0.5453
2002-06-26,0.4647,0.1511,0.4879,0.5356
2002-07-08,0.4582,0.0886,0.4627,0.4656
2002-07-11,0.4671,0.4269,0.4644,0.4663
2002-07-13,0.4679,0.2558,0.4675,0.4674
2002-07-18,0.4424,0.4294,0.3886,0.4078
