date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-21,0.5531,0.3356,0.5205,0.5434
2000-05-24,0.4878,0.0589,0.5205,0.5434
2000-06-13,0.4888,0.2176,0.5592,0.5887
2000-06-15,0.6297,0.5305,0.5592,0.5887
2000-07-04,0.4445,0.0726,0.4445,0.4445
2000-07-15,0.376,0.293,0.3879,0.3823
2000-07-16,0.4049,0.0624,0.3879,0.3823
2000-07-17,0.3829,0.7001,0.3879,0.3823
2000-07-26,0.382,0.7469,0.3386,0.3704
2000-07-29,0.2952,0.1157,0.3468,0.3632
2000-07-30,0.374,0.2983,0.3351,0.3447
2000-07-31,0.336,0.3445,0.3351,0.3447
2000-08-20,0.3968,0.4867,0.375,0.3857
2000-08-23,0.3533,0.1665,0.375,0.3857
2000-09-04,0.5291,0.0758,0.5291,0.5291
2000-09-12,0.4007,0.586,0.4007,0.4007
2000-10-07,0.3794,0.4325,0.3794,0.3794
2000-10-30,0.2945,0.5877,0.2945,0.2945
2001-05-12,0.6915,0.4747,0.6915,0.6915
2001-05-20,0.6614,0.0654,0.6444,0.6377
2001-05-22,0.6274,0.1495,0.6444,0.6377
2001-06-07,0.6159,0.1566,0.6159,0.6159
2001-06-13,0.575,0.6321,0.54,0.5664
2001-06-14,0.5051,0.0888,0.54,0.5664
2001-07-04,0.5148,0.5217,0.5148,0.5148
2001-07-22,0.4155,0.5646,0.411,0.4133
2001-07-25,0.4066,0.18,0.3982,0.3989
2001-07-27,0.3724,0.4045,0.37,0.3656
2001-07-29,0.3516,0.6044,0.3578,0.359
2001-07-30,0.3493,0.0992,0.3578,0.359
2001-08-04,0.4184,0.065,0.4046,0.3808
2001-08-05,0.3681,0.5125,0.4046,0.3808
2001-08-06,0.4273,0.0871,0.4046,0.3808
2001-08-12,0.3473,0.5349,0.3531,0.3413
2001-08-13,0.3787,0.0525,0.3531,0.3413
2001-08-14,0.3334,0.6605,0.36,0.3438
2001-08-17,0.3806,0.085,0.3666,0.3511
2001-08-18,0.3857,0.2656,0.3832,0.3845
2001-09-10,0.5326,0.3088,0.5326,0.5326
2001-09-15,0.3975,0.5078,0.4436,0.4383
2001-09-17,0.4897,0.4031,0.4436,0.4383
2001-09-25,0.3667,0.0758,0.3667,0.3667
2002-05-01,0.6769,0.1892,0.6661,0.6624
2002-05-04,0.6553,0.3831,0.6661,0.6624
2002-05-09,0.6725,0.2515,0.6725,0.6725
2002-05-13,0.6837,0.7003,0.6594,0.6776
2002-05-14,0.6351,0.1,0.6594,0.6776
2002-05-18,0.6211,0.2762,0.6434,0.651
2002-05-20,0.6656,0.5656,0.6434,0.651
2002-05-25,0.6891,0.2509,0.6507,0.6425
2002-05-27,0.6123,0.3882,0.6507,0.6425
2002-06-07,0.7004,0.656,0.7004,0.7004
2002-06-16,0.6259,0.3461,0.594,0.6073
2002-06-17,0.5622,0.1427,0.594,0.6073
2002-06-22,0.7182,0.1,0.6452,0.6417
2002-06-23,0.6408,0.6791,0.6341,0.6322
2002-06-24,0.5956,0.0605,0.6341,0.6322
2002-06-25,0.6261,0.2692,0.6341,0.6322
2002-06-26,0.59,0.2498,0.6131,0.6254
2002-07-09,0.6049,0.5172,0.6049,0.6049
2002-07-19,0.4585,0.0869,0.4742,0.4807
2002-07-20,0.4899,0.2095,0.4742,0.4807
2002-08-13,0.3867,0.2423,0.3986,0.3959
2002-08-14,0.4106,0.1514,0.3986,0.3959
2002-08-31,0.5486,0.3961,0.5486,0.5486
2002-09-04,0.5479,0.5072,0.5274,0.5344
2002-09-06,0.507,0.2511,0.5274,0.5344
2002-09-14,0.5137,0.2652,0.5137,0.5137
2002-10-11,0.3245,0.5081,0.336,0.3364
2002-10-13,0.3476,0.5442,0.336,0.3364
2003-05-01,0.5784,0.071,0.5784,0.5784
2003-05-13,0.6115,0.1129,0.6042,0.6006
2003-05-14,0.5969,0.3377,0.6042,0.6006
2003-05-21,0.609,0.2066,0.6128,0.6106
2003-05-24,0.6167,0.0557,0.592,0.5706
2003-05-25,0.5503,0.5163,0.5835,0.5568
2003-06-08,0.564,0.486,0.5401,0.5514
2003-06-10,0.5483,0.5803,0.5401,0.5514
2003-06-11,0.508,0.0992,0.5401,0.5514
2003-06-26,0.5468,0.4874,0.5468,0.5468
2003-07-03,0.5392,0.6927,0.493,0.5276
2003-07-04,0.4469,0.1,0.493,0.5276
2003-07-09,0.9245,0.0891,0.6316,0.5369
2003-07-10,0.5428,0.5124,0.6316,0.5369
2003-07-11,0.5889,0.0718,0.5945,0.5216
2003-07-12,0.4701,0.619,0.5945,0.5216
2003-07-14,0.4462,0.2609,0.5017,0.4725
2003-08-16,0.3641,0.2295,0.3641,0.3641
2003-08-25,0.4769,0.4007,0.4441,0.4388
2003-08-27,0.3977,0.3966,0.4441,0.4388
2003-08-28,0.4577,0.0557,0.4441,0.4388
2003-09-03,0.3331,0.4326,0.3331,0.3331
2003-09-14,0.5328,0.7654,0.5328,0.5328
2003-09-18,0.6008,0.1246,0.6008,0.6008
2003-10-14,0.3232,0.422,0.3232,0.3232
2003-10-30,0.3537,0.5793,0.3537,0.3537
2004-05-02,0.6281,0.6574,0.6347,0.63
2004-05-05,0.6412,0.1087,0.6209,0.6221
2004-05-07,0.5935,0.212,0.6174,0.6097
2004-05-14,0.6139,0.1629,0.6139,0.6139
2004-05-18,0.6906,0.9437,0.6906,0.6906
2004-05-23,0.6034,0.2345,0.6034,0.6034
2004-05-31,0.6675,0.115,0.6675,0.6675
2004-06-16,0.5752,0.1382,0.5559,0.5495
2004-06-17,0.5468,0.4775,0.5559,0.5495
2004-06-19,0.5458,0.6109,0.5559,0.5495
2004-07-03,0.5443,0.5233,0.5443,0.5443
2004-07-21,0.489,0.5242,0.489,0.489
2004-07-31,0.3839,0.0573,0.381,0.3792
2004-08-02,0.378,0.2291,0.381,0.3792
2004-08-14,0.5093,0.0541,0.4664,0.437
2004-08-17,0.4235,0.2889,0.4307,0.4089
2004-08-18,0.3592,0.1942,0.3914,0.3977
2004-08-27,0.3064,0.2485,0.3358,0.342
2004-08-29,0.3652,0.3821,0.3358,0.342
2004-09-08,0.4933,0.0686,0.4933,0.4933
2004-10-11,0.3774,0.5405,0.3774,0.3774
2005-05-06,0.6665,0.1,0.6665,0.6665
2005-05-10,0.623,0.416,0.6173,0.6162
2005-05-12,0.6115,0.6128,0.6173,0.6162
2005-05-17,0.6531,0.2317,0.6812,0.6739
2005-05-18,0.7199,0.1466,0.6632,0.6431
2005-05-19,0.6706,0.5709,0.6461,0.6397
2005-05-21,0.6092,0.8638,0.6443,0.6378
2005-05-22,0.5775,0.1,0.6191,0.63
2005-06-08,0.6433,0.3871,0.6433,0.6433
2005-07-04,0.5099,0.2835,0.5519,0.525
2005-07-07,0.5938,0.0622,0.5519,0.525
2005-07-15,0.434,0.5415,0.4606,0.4398
2005-07-16,0.4871,0.0662,0.4606,0.4398
2005-07-20,0.553,0.1457,0.5684,0.561
2005-07-23,0.5838,0.0509,0.5684,0.561
2005-07-27,0.4326,0.1608,0.4596,0.4645
2005-07-29,0.4876,0.2425,0.4485,0.437
2005-07-30,0.4585,0.0807,0.4485,0.437
2005-07-31,0.4152,0.6075,0.4538,0.4378
2005-08-07,0.3722,0.3576,0.4034,0.4144
2005-08-09,0.4345,0.7485,0.4034,0.4144
2005-08-14,0.4341,0.2259,0.3927,0.3748
2005-08-16,0.3512,0.566,0.3927,0.3748
2005-08-23,0.4302,0.4699,0.4302,0.4302
2005-09-06,0.5664,0.2252,0.5351,0.5289
2005-09-08,0.5038,0.3369,0.5351,0.5289
2005-09-15,0.4459,0.3517,0.4459,0.4459
2005-10-01,0.462,0.2903,0.462,0.462
2005-10-06,0.4417,0.0968,0.4733,0.468
2005-10-07,0.4567,0.3397,0.4665,0.4591
