Year,Mean_Summer_SLA,Glacier
2000,3015.2677717391307,Bezengi
2001,2972.316222826087,Bezengi
2002,2931.468179347826,Bezengi
2003,3022.5070108695654,Bezengi
2004,2944.6776358695656,Bezengi
2005,2930.3588586956525,Bezengi
2006,2975.5283423913042,Bezengi
2007,3069.8699456521736,Bezengi
2008,2976.8910054347825,Bezengi
2009,2996.1661413043475,Bezengi
2010,3019.148097826087,Bezengi
2011,3027.87214673913,Bezengi
2012,3091.3306249999996,Bezengi
2013,2985.688125,Bezengi
2014,3009.403288043478,Bezengi
2015,3057.2645108695656,Bezengi
2016,2999.487038043478,Bezengi
2017,2996.766073369565,Bezengi
2018,3146.5307336956525,Bezengi
2019,3022.0483967391306,Bezengi
2020,3119.5343070652175,Bezengi
2021,3038.8363315217393,Bezengi
2022,3080.244592391304,Bezengi
2023,3003.3129076086952,Bezengi
2024,3180.8573641304347,Bezengi
2025,2967.820611413044,Bezengi
2000,3070.5018206521736,Dyh-Cu
2001,3003.457744565217,Dyh-Cu
2002,2919.926875,Dyh-Cu
2003,3048.4627445652177,Dyh-Cu
2004,2943.1001630434785,Dyh-Cu
2005,2900.122336956522,Dyh-Cu
2006,2984.880298913043,Dyh-Cu
2007,3099.706983695652,Dyh-Cu
2008,3008.648722826087,Dyh-Cu
2009,2991.2042119565217,Dyh-Cu
2010,3021.8224184782607,Dyh-Cu
2011,3051.3944293478257,Dyh-Cu
2012,3156.036385869565,Dyh-Cu
2013,2989.4354891304347,Dyh-Cu
2014,3059.2938315217393,Dyh-Cu
2015,3087.0365217391304,Dyh-Cu
2016,3008.471902173913,Dyh-Cu
2017,3034.6205706521737,Dyh-Cu
2018,3176.1754619565218,Dyh-Cu
2019,3082.1340760869566,Dyh-Cu
2020,3193.348369565217,Dyh-Cu
2021,3024.8591032608692,Dyh-Cu
2022,3067.5534646739134,Dyh-Cu
2023,3013.4801902173913,Dyh-Cu
2024,3082.9389945652174,Dyh-Cu
2025,2950.4447554347826,Dyh-Cu
2000,3019.686793478261,Caneri
2001,3005.5079076086954,Caneri
2002,2950.436711956522,Caneri
2003,3023.972282608696,Caneri
2004,2934.149130434783,Caneri
2005,2918.5751358695647,Caneri
2006,3042.8367663043477,Caneri
2007,3133.4541847826085,Caneri
2008,3023.614483695652,Caneri
2009,3004.9842119565214,Caneri
2010,3048.846956521739,Caneri
2011,3034.611005434783,Caneri
