Glacier,Month,Month Name,Years of Data,Total Interpolated Days,SLA Trend (m/yr),Total Shift (m),P-value,R-squared
Agashtan,5,May,26,806,-4.97,-129.2,0.0204,0.204
Agashtan,6,June,26,780,2.6,67.7,0.1807,0.073
Agashtan,7,July,26,806,3.22,83.8,0.0519,0.148
Agashtan,8,August,26,806,6.2,161.2,0.0027,0.318
Agashtan,9,September,26,780,10.4,270.4,0.0045,0.291
Agashtan,10,October,26,806,4.37,113.5,0.1026,0.107
Bezengi,5,May,26,806,3.74,97.2,0.2505,0.055
Bezengi,6,June,26,780,3.58,93.1,0.0538,0.146
Bezengi,7,July,26,806,2.62,68.1,0.1149,0.1
Bezengi,8,August,26,806,6.89,179.3,0.0007,0.39
Bezengi,9,September,26,780,8.8,228.9,0.0035,0.304
Bezengi,10,October,26,806,-0.2,-5.3,0.9403,0.0
Caneri,5,May,26,806,6.66,173.2,0.0129,0.231
Caneri,6,June,26,780,6.17,160.5,0.0171,0.215
Caneri,7,July,26,806,7.37,191.5,0.0013,0.354
Caneri,8,August,26,806,10.15,264.0,0.0,0.576
Caneri,9,September,26,780,10.88,282.8,0.0035,0.305
Caneri,10,October,26,806,2.72,70.6,0.4032,0.029
Dyh-Cu,5,May,26,806,-1.8,-46.9,0.5366,0.016
Dyh-Cu,6,June,26,780,1.67,43.4,0.416,0.028
Dyh-Cu,7,July,26,806,1.64,42.6,0.3726,0.033
Dyh-Cu,8,August,26,806,4.22,109.8,0.0293,0.183
Dyh-Cu,9,September,26,780,9.2,239.2,0.0267,0.188
Dyh-Cu,10,October,26,806,4.87,126.7,0.2536,0.054
Karaugom,5,May,26,806,-8.69,-225.9,0.0035,0.304
Karaugom,6,June,26,780,2.39,62.2,0.3439,0.037
Karaugom,7,July,26,806,2.68,69.7,0.339,0.038
Karaugom,8,August,26,806,5.52,143.6,0.0228,0.198
Karaugom,9,September,26,780,9.65,251.0,0.016,0.219
Karaugom,10,October,26,806,10.04,261.0,0.0004,0.416
Lekziri,5,May,26,806,-0.42,-11.0,0.8797,0.001
Lekziri,6,June,26,780,6.52,169.6,0.0075,0.262
Lekziri,7,July,26,806,4.44,115.5,0.0052,0.283
Lekziri,8,August,26,806,7.11,184.9,0.0003,0.429
Lekziri,9,September,26,780,14.38,373.9,0.0011,0.364
Lekziri,10,October,26,806,5.13,133.3,0.1828,0.073
Ulluchiran,5,May,26,806,-2.7,-70.3,0.4411,0.025
Ulluchiran,6,June,26,780,-8.59,-223.4,0.0002,0.442
Ulluchiran,7,July,26,806,-1.92,-50.0,0.3711,0.033
Ulluchiran,8,August,26,806,5.27,136.9,0.012,0.235
Ulluchiran,9,September,26,780,12.51,325.1,0.0,0.606
Ulluchiran,10,October,26,806,1.61,41.8,0.5897,0.012
