time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day,date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-06-17,3047.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3047.0,3047.0,2000-06-17,0.5957,0.7244,0.5963,0.5959
2000-09-05,3257.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3306.0,3306.0,2000-09-05,0.313,0.4943,0.313,0.313
2000-10-07,2977.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2866.5,2866.5,2000-10-07,0.5904,0.7346,0.6412,0.608
2001-10-26,3067.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3067.0,3067.0,2001-10-26,0.7065,0.5517,0.7127,0.7164
2004-07-30,2952.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2952.0,2952.0,2004-07-30,0.5017,0.7448,0.4875,0.4938
2004-08-15,3193.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3245.5,3221.3577,2004-08-15,0.4674,0.5618,0.441,0.4567
2004-09-16,2799.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2931.5,2931.5,2004-09-16,0.6566,0.859,0.6878,0.6766
2006-08-05,3133.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3202.6667,3175.1983,2006-08-05,0.4202,0.7187,0.4102,0.416
2006-10-08,3004.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.4240000000000004,0.5968,3004.0,3004.0,2006-10-08,0.467,0.6031,0.5832,0.543
2007-05-20,2445.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2746.0,2673.7468,2007-05-20,0.6601,0.9018,0.6481,0.6576
2007-07-23,3031.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.8188000000000003,0.8732,3041.5,3041.1309,2007-07-23,0.4697,0.4993,0.4752,0.4661
2007-08-08,3088.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3222.3333,3137.013,2007-08-08,0.399,0.5373,0.3859,0.3974
2008-05-22,2486.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2427.5,2454.4015,2008-05-22,0.7269,0.6713,0.6779,0.7076
2008-07-25,2935.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2918.0,2918.0392,2008-07-25,0.5145,0.7323,0.5302,0.5198
2008-08-26,3214.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.9286000000000002,0.95,3214.0,3214.0,2008-08-26,0.3893,0.5632,0.4085,0.3957
2009-08-13,2794.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2942.5,2874.2117,2009-08-13,0.7312,0.9581,0.5943,0.6716
2009-10-16,3043.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3085.0,3085.0,2009-10-16,0.5754,0.9271,0.548,0.5709
2010-06-13,2449.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2421.0,2421.0,2010-06-13,0.6361,0.8064,0.6058,0.6295
2010-09-17,3298.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3295.5,3294.3504,2010-09-17,0.5118,0.734,0.5118,0.5118
2011-09-20,3287.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3238.0,3260.5328,2011-09-20,0.3793,0.5983,0.3825,0.3778
2011-10-06,2676.0,19.8134732334852,G043291E42928N,Agashtan,0.638125,1.0,0.8914,2932.5,2826.4757,2011-10-06,0.7333,0.8708,0.7222,0.7327
2011-10-22,3122.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3122.0,3122.0,2011-10-22,0.7682,0.9396,0.7682,0.7682
2012-07-20,3117.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3117.0,3117.0,2012-07-20,0.4557,0.6707,0.4267,0.4433
2012-09-06,3344.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.97,0.979,3344.0,3344.0,2012-09-06,0.2921,0.8581,0.2939,0.2962
