time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day,date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-07-03,2908.0,39.41055599326499,G043100E43030N,Bezengi,0.7609375,0.1659999999999996,0.3445,3023.0,3079.0673,2000-07-03,0.4259,0.6027,0.4026,0.4214
2000-09-05,3383.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.9016,0.9311,3383.0,3383.0,2000-09-05,0.333,0.7061,0.4046,0.3581
2000-10-07,2897.0,39.41055599326499,G043100E43030N,Bezengi,1.0,1.0,1.0,2834.5,2837.298,2000-10-07,0.4147,0.6169,0.4359,0.4208
2001-07-06,2903.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.1,0.37,2963.6667,2969.9214,2001-07-06,0.4438,0.7322,0.4438,0.4438
2002-05-22,2496.0,39.41055599326499,G043100E43030N,Bezengi,1.0,1.0,1.0,2496.0,2496.0,2002-05-22,0.6195,0.7816,0.6318,0.6294
2002-06-23,3489.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.1,0.37,3489.0,3489.0,2002-06-23,0.5814,0.8209,0.567,0.5729
2003-05-25,3725.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.1,0.37,3725.0,3725.0,2003-05-25,0.4991,0.866,0.5301,0.5036
2004-06-12,3295.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.1,0.37,3295.0,3295.0,2004-06-12,0.6316,0.7985,0.5925,0.6088
2004-07-30,3083.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.6256000000000003,0.7379,3083.0,3083.0,2004-07-30,0.3867,0.7509,0.393,0.3919
2004-08-15,3090.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.5836000000000001,0.7085,3104.0,3104.9979,2004-08-15,0.3983,0.837,0.4055,0.3942
2006-08-05,3061.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.4809999999999996,0.6367,3158.0,3190.5849,2006-08-05,0.3338,0.8514,0.3283,0.33
2007-08-08,3050.0,39.41055599326499,G043100E43030N,Bezengi,0.1,0.6424000000000004,0.4797,3283.5,3340.3533,2007-08-08,0.3477,0.7635,0.3302,0.3268
2010-08-23,3689.0,39.41055599326499,G043100E43030N,Bezengi,1.0,0.1,0.37,3664.3333,3629.7211,2010-08-23,0.2931,0.6444,0.3186,0.3144
2011-08-10,3316.0,39.41055599326499,G043100E43030N,Bezengi,0.780625,0.1,0.3042,3562.75,3561.1978,2011-08-10,0.2933,0.6242,0.3008,0.299
2011-10-06,3315.0,39.41055599326499,G043100E43030N,Bezengi,0.1,0.3370000000000002,0.2659,3040.5,3101.3955,2011-10-06,0.4732,0.7302,0.4687,0.4816
