time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day,date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-06-17,2851.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2884.3333,2867.024,2000-06-17,0.4533,0.5232,0.4683,0.4649
2000-07-03,3138.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.6820000000000002,0.7774,3103.0,3100.8388,2000-07-03,0.3923,0.6043,0.3968,0.3953
2000-07-10,3098.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3193.6,3121.711,2000-07-10,0.3814,0.5603,0.3924,0.3758
2000-09-05,3406.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,3371.5,3387.365,2000-09-05,0.3452,0.6345,0.3468,0.3478
2000-09-12,3337.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3338.0,3338.2658,2000-09-12,0.262,0.5272,0.3178,0.2912
2000-10-07,3015.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,2748.6667,2755.1206,2000-10-07,0.3236,0.5449,0.3601,0.3328
2000-10-14,2644.0,13.9437234565625,G042999E43050N,Caneri,0.8049999999999999,1.0,0.9415,2824.75,2779.0626,2000-10-14,0.4481,0.7069,0.4168,0.442
2001-07-06,3074.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.4024000000000004,0.3117,2983.0,2964.5769,2001-07-06,0.4066,0.8342,0.4066,0.4066
2001-07-29,3267.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3430.6667,3431.8633,2001-07-29,0.2854,0.7954,0.2834,0.288
2002-05-13,3666.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3364.75,3203.3859,2002-05-13,0.6272,0.6881,0.6083,0.6208
2002-05-22,2540.0,13.9437234565625,G042999E43050N,Caneri,0.1,1.0,0.73,3257.6667,3081.9116,2002-05-22,0.6104,0.8179,0.641,0.6324
2002-06-23,2682.0,13.9437234565625,G042999E43050N,Caneri,0.5349999999999999,0.1,0.2305,2646.5,2638.2531,2002-06-23,0.5429,0.7569,0.5304,0.5319
2003-05-25,2619.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2619.0,2619.0,2003-05-25,0.4823,0.6076,0.511,0.4984
2004-07-14,3027.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.2559999999999997,0.4792,3027.0,3027.0,2004-07-14,0.4366,0.6536,0.4515,0.438
2004-07-30,3377.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3377.0,3377.0,2004-07-30,0.3464,0.6132,0.3473,0.3538
2004-09-16,3309.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.2697999999999999,0.2189,2893.0,2748.5437,2004-09-16,0.3517,0.8381,0.4145,0.3824
2007-06-28,3153.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3183.0,3191.4386,2007-06-28,0.3709,0.785,0.3905,0.376
2007-07-23,3537.0,13.9437234565625,G042999E43050N,Caneri,0.685,0.2463999999999998,0.378,3576.25,3598.2591,2007-07-23,0.3012,0.5648,0.3039,0.3032
2007-10-18,3585.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3585.0,3585.0,2007-10-18,0.4399,0.686,0.4172,0.4209
2008-06-14,2911.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2877.0,2863.2251,2008-06-14,0.5533,0.7535,0.5533,0.5533
2008-07-09,3018.0,13.9437234565625,G042999E43050N,Caneri,0.3099999999999999,0.4011999999999998,0.3738,3018.0,3023.7802,2008-07-09,0.4304,0.7391,0.4011,0.4206
2008-09-02,3608.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3483.5,3462.8201,2008-09-02,0.2741,0.6211,0.2817,0.2805
2008-10-04,3456.0,13.9437234565625,G042999E43050N,Caneri,0.61,0.1,0.253,3192.0,3142.4205,2008-10-04,0.3863,0.7271,0.4559,0.4269
2008-10-20,3263.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2913.0,3055.2083,2008-10-20,0.3888,0.7043,0.4153,0.4082
2009-05-16,4444.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3449.5,3124.0273,2009-05-16,0.6496,0.7117,0.6657,0.6614
2010-06-04,2603.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2760.2,2623.5626,2010-06-04,0.5042,0.7493,0.5419,0.5274
2010-09-24,3259.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3198.3333,3205.2407,2010-09-24,0.3606,0.6272,0.3243,0.3498
2011-06-07,2634.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2672.0,2686.7219,2011-06-07,0.5747,0.7746,0.5732,0.561
2011-08-10,3723.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3598.25,3584.133,2011-08-10,0.2678,0.8071,0.2934,0.281
2011-09-11,3674.0,13.9437234565625,G042999E43050N,Caneri,0.996,0.1,0.3688,3350.3333,3360.3831,2011-09-11,0.4276,0.8315,0.3804,0.4121
2011-09-27,3021.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3118.8,3124.8402,2011-09-27,0.3813,0.6409,0.4338,0.3954
2011-10-06,3283.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.3424000000000003,0.2697,3081.25,3053.8613,2011-10-06,0.409,0.6818,0.3976,0.4082
2011-10-29,2532.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2532.0,2532.0,2011-10-29,0.4321,0.532,0.4438,0.4396
2012-08-21,3343.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3304.0,3304.0,2012-08-21,0.5441,0.7237,0.4466,0.4835
2012-09-13,3716.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3716.0,3716.0,2012-09-13,0.2527,0.5581,0.2827,0.2881
2013-06-28,3183.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3122.5,3102.7,2013-06-28,0.387,0.5472,0.3862,0.405
2014-07-10,3373.0,13.9437234565625,G042999E43050N,Caneri,0.92875,0.3574000000000004,0.5288,3326.6667,3227.1342,2014-07-10,0.4114,0.9263,0.3885,0.4026
2014-10-21,2802.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3067.75,3076.7123,2014-10-21,0.4713,0.8599,0.5478,0.4872
2015-08-14,3437.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3392.3333,3376.8613,2015-08-14,0.2332,0.6865,0.2582,0.2397
2015-09-03,3191.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.8415999999999999,0.8891,3474.3333,3292.3649,2015-09-03,0.3113,0.2218,0.2732,0.2737
2016-07-29,3203.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,3333.0,3301.7903,2016-07-29,0.3658,0.4817,0.3551,0.3543
2016-07-31,3445.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3333.0,3301.7903,2016-07-31,0.3426,0.4871,0.3552,0.3546
2016-10-03,3343.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.3058000000000004,0.2441,2932.0,2787.8417,2016-10-03,0.3445,0.6702,0.3839,0.3801
2016-10-17,2470.0,13.9437234565625,G042999E43050N,Caneri,0.799,1.0,0.9397,2904.5,2868.8146,2016-10-17,0.4782,0.4422,0.4574,0.4581
2017-07-02,2887.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.2020000000000001,0.4414,2987.75,2941.8186,2017-07-02,0.3986,0.5107,0.4279,0.4143
2017-07-18,3365.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.2727999999999997,0.221,3214.8571,3213.2098,2017-07-18,0.3542,0.7999,0.4077,0.3701
2017-08-03,3536.0,13.9437234565625,G042999E43050N,Caneri,0.1,1.0,0.73,3599.4,3582.8772,2017-08-03,0.2829,0.8176,0.2784,0.2786
2017-09-02,3525.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.5284000000000001,0.6699,3563.6667,3496.1145,2017-09-02,0.2726,0.5004,0.2753,0.2704
2017-09-11,3466.0,13.9437234565625,G042999E43050N,Caneri,0.7492857142857143,0.1,0.2948,3473.375,3420.7211,2017-09-11,0.3073,0.8609,0.3427,0.3344
2017-10-13,2482.0,13.9437234565625,G042999E43050N,Caneri,0.66,0.1,0.268,3122.0,3149.5785,2017-10-13,0.4698,0.7303,0.4698,0.4698
2018-05-02,2578.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.3190000000000003,0.2533,2640.0,2467.3815,2018-05-02,0.5315,0.7532,0.5391,0.5368
2018-06-14,2843.0,13.9437234565625,G042999E43050N,Caneri,0.3299999999999998,1.0,0.799,2929.6667,2859.535,2018-06-14,0.4731,0.3113,0.4817,0.5008
2018-08-13,3386.0,13.9437234565625,G042999E43050N,Caneri,0.985,1.0,0.9955,3515.2,3469.8586,2018-08-13,0.3952,0.4451,0.3525,0.3511
2018-10-07,2929.0,13.9437234565625,G042999E43050N,Caneri,0.915,1.0,0.9745,3182.1667,3152.6602,2018-10-07,0.3266,0.4403,0.4037,0.3858
2018-10-16,3250.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,3080.375,3097.1487,2018-10-16,0.2451,0.6228,0.2695,0.2601
2018-10-27,3241.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.7972000000000002,0.588,2969.3333,3075.1279,2018-10-27,0.4663,0.4696,0.4046,0.4059
2019-05-30,2724.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,2742.5,2707.0325,2019-05-30,0.5124,0.6816,0.4935,0.4974
2019-06-09,2848.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,2850.6667,2851.3755,2019-06-09,0.4425,0.2133,0.4425,0.4425
2019-07-29,3634.0,13.9437234565625,G042999E43050N,Caneri,0.649,1.0,0.8947,3627.0,3654.0801,2019-07-29,0.2946,0.3485,0.3613,0.3472
2019-08-13,3683.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,3582.5,3530.8978,2019-08-13,0.3129,0.2549,0.284,0.2778
2019-08-23,4021.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.9693999999999996,0.9786,3786.6667,3794.7765,2019-08-23,0.2299,0.3892,0.2413,0.2317
2019-09-12,3526.0,13.9437234565625,G042999E43050N,Caneri,0.1,0.9508000000000004,0.6956,3444.8,3327.0746,2019-09-12,0.3289,0.4168,0.326,0.3271
2019-09-22,3964.0,13.9437234565625,G042999E43050N,Caneri,0.1,1.0,0.73,3489.3333,3479.6717,2019-09-22,0.5438,0.2944,0.4388,0.4273
2019-10-17,3202.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.8661999999999997,0.9063,3291.4286,3277.675,2019-10-17,0.2794,0.2895,0.3009,0.3085
2020-05-14,2636.0,13.9437234565625,G042999E43050N,Caneri,1.0,0.1,0.37,2574.6667,2558.3629,2020-05-14,0.6411,0.7857,0.6294,0.6326
2020-05-14,2505.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,2574.6667,2558.3629,2020-05-14,0.6411,0.7857,0.6294,0.6326
2020-05-19,2583.0,13.9437234565625,G042999E43050N,Caneri,1.0,1.0,1.0,2574.6667,2558.3629,2020-05-19,0.5562,0.3535,0.5562,0.5562
