time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day,date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-08-20,3470.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.6334,0.7434,3516.5,3523.113,2000-08-20,0.256,0.5082,0.256,0.256
2000-09-05,3392.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.3945999999999998,0.5762,3392.0,3392.0,2000-09-05,0.2959,0.6852,0.3918,0.3218
2001-07-06,2982.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.1,0.37,2922.3333,2906.4726,2001-07-06,0.4584,0.585,0.4584,0.4584
2002-06-23,2856.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.1222000000000002,0.3855,2856.0,2856.0,2002-06-23,0.6074,0.7545,0.5619,0.5762
2003-05-25,3057.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.1,0.37,3057.0,3057.0,2003-05-25,0.518,0.6477,0.5346,0.5213
2006-08-05,3214.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.6232,0.7362,3287.0,3340.7116,2006-08-05,0.3377,0.8149,0.328,0.3351
2006-10-24,2302.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.1786000000000001,0.425,2302.0,2302.0,2006-10-24,0.5655,0.6255,0.5673,0.5512
2007-08-08,3459.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.6232,0.7362,3488.0,3488.6411,2007-08-08,0.3258,0.7204,0.3289,0.3211
2008-05-22,2567.0,33.6089880081259,G043183E42984N,Dyh-Cu,0.1,1.0,0.73,3306.5,3421.9133,2008-05-22,0.6537,0.7751,0.5917,0.6405
2008-08-26,3324.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.2127999999999997,0.449,3324.0,3324.0,2008-08-26,0.284,0.6916,0.2875,0.2915
2009-10-16,3104.0,33.6089880081259,G043183E42984N,Dyh-Cu,0.1899999999999999,0.4702,0.3861,3323.3333,3246.4059,2009-10-16,0.4147,0.7666,0.3772,0.405
2011-09-20,3325.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.4606000000000003,0.6224,3276.6667,3265.5039,2011-09-20,0.2882,0.6836,0.2876,0.2895
2012-08-21,3368.0,33.6089880081259,G043183E42984N,Dyh-Cu,1.0,0.4425999999999996,0.6098,3368.0,3368.0,2012-08-21,0.3945,0.7339,0.3431,0.3646
