time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day,date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-06-17,3523.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.3141999999999996,0.5199,3852.0,3719.2721,2000-06-17,0.5622,0.5032,0.5898,0.59
2000-06-26,4181.0,28.838518368211,G043748E42782N,Karaugom,0.5033333333333332,0.1,0.221,3677.0,3619.3115,2000-06-26,0.6422,0.5846,0.6422,0.6422
2000-07-28,3638.0,28.838518368211,G043748E42782N,Karaugom,0.7,0.1,0.28,3625.8,3622.2679,2000-07-28,0.4203,0.5651,0.4077,0.4156
2000-08-20,3702.0,28.838518368211,G043748E42782N,Karaugom,0.705625,0.1,0.2817,3463.5,3341.1373,2000-08-20,0.4092,0.5005,0.3733,0.3969
2000-09-05,3546.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3621.6667,3610.4123,2000-09-05,0.5382,0.7679,0.5622,0.5706
2001-07-06,3461.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3585.6667,3539.6234,2001-07-06,0.5648,0.6178,0.5806,0.5783
2001-09-01,2931.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,2931.0,2931.0,2001-09-01,0.6968,0.7282,0.6306,0.6821
2001-10-03,3460.0,28.838518368211,G043748E42782N,Karaugom,1.0,1.0,1.0,3475.0,3475.0,2001-10-03,0.6169,0.7308,0.6114,0.6289
2002-05-22,2356.0,28.838518368211,G043748E42782N,Karaugom,1.0,1.0,1.0,2356.0,2356.0,2002-05-22,0.7456,0.7993,0.7188,0.7261
2002-06-16,3077.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.7029999999999998,0.7921,3077.0,3077.0,2002-06-16,0.6398,0.7886,0.6411,0.64
2002-07-02,3376.0,28.838518368211,G043748E42782N,Karaugom,1.0,1.0,1.0,3376.0,3376.0,2002-07-02,0.6304,0.6531,0.6304,0.6304
2002-09-20,2716.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3175.5,2911.5319,2002-09-20,0.7248,0.7446,0.6604,0.6809
2002-10-06,3345.0,28.838518368211,G043748E42782N,Karaugom,1.0,1.0,1.0,3490.0,3371.3636,2002-10-06,0.7079,0.6601,0.6886,0.6987
2003-05-25,3292.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.3772000000000003,0.564,3292.0,3292.0,2003-05-25,0.6013,0.7981,0.6013,0.6013
2004-07-30,3632.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.3693999999999997,0.5586,3567.5,3612.413,2004-07-30,0.5198,0.6868,0.5121,0.5232
2004-08-15,3608.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.2715999999999999,0.4901,3617.3333,3613.5066,2004-08-15,0.5378,0.785,0.5125,0.5178
2004-09-16,3685.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.3399999999999999,0.538,3720.2,3615.389,2004-09-16,0.584,0.7839,0.601,0.5941
2004-09-25,3643.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3751.0,3693.3929,2004-09-25,0.4616,0.4326,0.4617,0.4622
2004-10-11,3537.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3537.0,3537.0,2004-10-11,0.6632,0.7618,0.6216,0.647
2005-07-01,4181.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3780.6667,3842.2036,2005-07-01,0.5609,0.6531,0.5612,0.561
2005-08-18,3672.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.2613999999999998,0.483,3665.5,3663.234,2005-08-18,0.3949,0.658,0.3981,0.4006
2005-09-12,3617.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3663.5,3663.5,2005-09-12,0.5939,0.5945,0.5931,0.5911
2006-08-05,3638.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.3832,0.5682,3652.25,3652.8687,2006-08-05,0.4205,0.8648,0.4207,0.4228
2006-08-30,3758.0,28.838518368211,G043748E42782N,Karaugom,0.58,0.1,0.244,3724.0,3710.6189,2006-08-30,0.359,0.6003,0.354,0.3563
2006-10-08,3622.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1690000000000003,0.4183,3586.0,3573.6346,2006-10-08,0.5786,0.7171,0.5927,0.5876
2007-08-08,3704.0,28.838518368211,G043748E42782N,Karaugom,0.7578571428571428,0.2920000000000001,0.4318,3785.0,3698.3973,2007-08-08,0.4015,0.7543,0.4257,0.4176
2007-09-02,3677.0,28.838518368211,G043748E42782N,Karaugom,0.97,0.1,0.361,3698.0,3707.5232,2007-09-02,0.4263,0.5647,0.3757,0.4116
2008-08-10,3646.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3646.0,3646.0,2008-08-10,0.4168,0.6934,0.4418,0.4249
2008-08-26,3643.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3782.5,3702.3617,2008-08-26,0.4167,0.544,0.403,0.4086
2009-10-25,3632.0,28.838518368211,G043748E42782N,Karaugom,0.5349999999999999,0.1,0.2305,3581.3333,3564.1772,2009-10-25,0.5202,0.6006,0.5454,0.5366
2010-08-09,3642.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3412.6667,3184.3763,2010-08-09,0.4614,0.6968,0.4258,0.4429
2010-09-01,3652.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.2206000000000003,0.4544,3695.3333,3664.4164,2010-09-01,0.3627,0.8422,0.3908,0.3784
2010-09-17,4226.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,3796.0,3655.2727,2010-09-17,0.5955,0.7357,0.5661,0.5863
2010-10-28,4042.0,28.838518368211,G043748E42782N,Karaugom,1.0,0.1,0.37,4042.0,4042.0,2010-10-28,0.6078,0.6984,0.6254,0.6244
