time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day,date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-07-10,3092.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3128.6,3118.2863,2000-07-10,0.4499,0.6167,0.4533,0.4498
2000-09-05,3219.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1186000000000001,0.383,3250.0,3257.8173,2000-09-05,0.4286,0.6286,0.4286,0.4286
2000-09-12,3281.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.4875999999999996,0.6413,3265.0,3276.1855,2000-09-12,0.3372,0.7558,0.3874,0.3641
2000-10-07,2775.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,2700.3333,2721.9811,2000-10-07,0.4819,0.7586,0.5278,0.5102
2000-10-14,2623.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1120000000000001,0.3784,2700.3333,2721.9811,2000-10-14,0.6097,0.6646,0.6097,0.6097
2001-07-29,3184.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.5956000000000002,0.7169,3206.3333,3214.1542,2001-07-29,0.3722,0.5893,0.3965,0.3896
2002-05-13,3202.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2941.0,2968.0668,2002-05-13,0.7497,0.7011,0.6761,0.7223
2005-07-24,3082.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3082.5,3082.7299,2005-07-24,0.4514,0.8871,0.4583,0.452
2005-08-09,3097.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3116.5,3116.5,2005-08-09,0.4188,0.7909,0.3808,0.405
2005-08-18,3136.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3116.5,3116.5,2005-08-18,0.3564,0.4762,0.3705,0.366
2006-08-05,3127.0,32.7674318550688,G042766E43151N,Lekziri,0.58,0.1,0.244,3106.4,3148.9061,2006-08-05,0.3872,0.8974,0.372,0.381
2006-08-12,2838.0,32.7674318550688,G042766E43151N,Lekziri,0.9807142857142858,0.1,0.3642,3108.5,3156.9616,2006-08-12,0.358,0.8082,0.3354,0.3489
2007-06-28,3117.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3097.3333,3092.1055,2007-06-28,0.472,0.6779,0.4505,0.4687
2007-07-30,3192.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3206.0,3208.6172,2007-07-30,0.3562,0.706,0.3635,0.3598
2007-08-15,3441.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3382.6667,3336.0805,2007-08-15,0.3134,0.7209,0.3274,0.3191
2007-10-18,3574.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3574.0,3574.0,2007-10-18,0.6971,0.8371,0.6049,0.656
2008-07-25,3108.0,32.7674318550688,G042766E43151N,Lekziri,0.775,0.1677999999999997,0.35,2988.25,3022.7227,2008-07-25,0.4274,0.6476,0.4248,0.4301
2008-08-10,3167.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3167.0,3167.0,2008-08-10,0.3846,0.8127,0.3966,0.3863
2008-10-04,2715.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2743.5,2756.6058,2008-10-04,0.565,0.804,0.6011,0.5934
2008-10-20,2607.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2672.5,2702.2578,2008-10-20,0.603,0.7476,0.603,0.603
2009-05-16,2796.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2796.0,2796.0,2009-05-16,0.7559,0.8503,0.7293,0.7514
2010-08-07,2837.0,32.7674318550688,G042766E43151N,Lekziri,0.88375,0.1,0.3351,3102.0,3167.9719,2010-08-07,0.3471,0.6899,0.358,0.3575
2011-09-20,3245.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3209.0,3207.817,2011-09-20,0.3605,0.7646,0.3675,0.3657
2011-09-27,3114.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3099.0,3151.7879,2011-09-27,0.5045,0.5255,0.5045,0.5045
2011-10-29,3181.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3181.0,3181.0,2011-10-29,0.6492,0.5987,0.5986,0.6163
2012-07-20,3179.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3179.0,3179.0,2012-07-20,0.4025,0.8152,0.3829,0.3944
2012-10-15,3590.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3590.0,3590.0,2012-10-15,0.6084,0.8207,0.6425,0.6286
2013-05-20,2349.0,32.7674318550688,G042766E43151N,Lekziri,0.865,0.1,0.3295,2550.0,2548.2773,2013-05-20,0.6695,0.6938,0.6055,0.6307
2013-06-05,2575.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2663.0,2657.1536,2013-06-05,0.6438,0.7851,0.6438,0.6438
2014-06-15,3042.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3058.5,3058.5,2014-06-15,0.6094,0.5852,0.5802,0.5824
2014-07-10,3111.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2984.3333,3001.3837,2014-07-10,0.4659,0.7631,0.4293,0.4504
2014-07-17,2803.0,32.7674318550688,G042766E43151N,Lekziri,0.94,0.1,0.352,2957.0,2960.8393,2014-07-17,0.3652,0.5101,0.3979,0.3757
2014-10-21,3591.0,32.7674318550688,G042766E43151N,Lekziri,0.4942857142857143,0.1,0.2183,3321.75,3286.1466,2014-10-21,0.6978,0.8557,0.7212,0.6914
2015-06-18,2697.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2750.0,2719.5532,2015-06-18,0.5889,0.745,0.5889,0.5889
2015-07-20,3139.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3105.75,3146.2091,2015-07-20,0.3584,0.6022,0.3311,0.348
2015-08-14,3429.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3477.0,3492.1071,2015-08-14,0.3069,0.691,0.3225,0.3121
2015-09-03,3435.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3395.6,3376.9702,2015-09-03,0.3062,0.2015,0.2886,0.2838
2016-05-03,2204.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,2204.0,2204.0,2016-05-03,0.7252,0.7469,0.7252,0.7252
2016-07-15,3091.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3024.4286,3060.3833,2016-07-15,0.4617,0.612,0.4542,0.4669
2016-07-29,3108.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3044.2,3099.55,2016-07-29,0.4395,0.5918,0.4202,0.4333
2016-08-21,3238.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3173.8333,3193.693,2016-08-21,0.3174,0.4651,0.342,0.3309
2016-08-23,3239.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3164.0,3189.2172,2016-08-23,0.3219,0.74,0.347,0.3321
2016-09-08,3257.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3248.8,3258.6227,2016-09-08,0.3851,0.7656,0.3673,0.372
2016-09-10,3300.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.8331999999999998,0.8832,3248.8,3258.6227,2016-09-10,0.3625,0.4962,0.3548,0.3576
2016-10-03,2493.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,2753.8333,2747.1521,2016-10-03,0.5774,0.6996,0.5385,0.5717
2017-07-02,3042.0,32.7674318550688,G042766E43151N,Lekziri,0.4449999999999999,1.0,0.8335,3004.5,2984.8547,2017-07-02,0.4962,0.5538,0.497,0.4973
2017-07-02,3049.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3012.2222,2997.7483,2017-07-02,0.4962,0.5538,0.497,0.4973
2017-07-04,3061.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3051.625,3047.4295,2017-07-04,0.502,0.3238,0.4925,0.4961
2017-07-27,3101.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3124.6667,3124.5179,2017-07-27,0.43,0.7103,0.3907,0.4153
2017-08-01,3164.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3155.4444,3157.2843,2017-08-01,0.3918,0.678,0.386,0.3941
2017-08-03,3131.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3166.1111,3168.7539,2017-08-03,0.3987,0.8329,0.377,0.388
2017-08-03,3183.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3173.3,3176.1441,2017-08-03,0.3987,0.8329,0.377,0.388
2017-08-06,3222.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3198.5556,3203.6404,2017-08-06,0.3408,0.217,0.3723,0.3797
2017-08-08,3241.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3201.8,3204.7986,2017-08-08,0.3591,0.5316,0.3597,0.3623
2017-08-21,3281.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.3604000000000001,0.5523,3260.7143,3276.1429,2017-08-21,0.3397,0.4264,0.3118,0.3235
2017-08-26,3335.0,32.7674318550688,G042766E43151N,Lekziri,0.71,1.0,0.913,3277.7143,3296.1326,2017-08-26,0.3168,0.7731,0.2904,0.3115
2017-09-04,3323.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3260.625,3255.25,2017-09-04,0.3194,0.7165,0.31,0.3162
2017-09-15,3259.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3296.1111,3259.4434,2017-09-15,0.3346,0.3093,0.3179,0.3207
2017-09-20,3354.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3322.7778,3286.8005,2017-09-20,0.2808,0.7023,0.2927,0.2872
2017-09-20,3337.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3322.7778,3286.8005,2017-09-20,0.2808,0.7023,0.2927,0.2872
2017-09-25,3351.0,32.7674318550688,G042766E43151N,Lekziri,0.4700000000000001,0.5715999999999999,0.5411,3427.4286,3372.6485,2017-09-25,0.2721,0.3514,0.289,0.2827
2017-10-20,2575.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,2516.3333,2486.4301,2017-10-20,0.6073,0.5394,0.6104,0.5968
2018-06-14,3060.0,32.7674318550688,G042766E43151N,Lekziri,1.0,1.0,1.0,3001.6,2908.4941,2018-06-14,0.5109,0.3645,0.497,0.5042
2018-07-12,3168.0,32.7674318550688,G042766E43151N,Lekziri,1.0,0.1,0.37,3131.5,3164.7915,2018-07-12,0.3723,0.7328,0.3808,0.3743
